,chrom,start,end
chr1_188,chr1,4700000,4725000
chr1_189,chr1,4725000,4750000
chr1_190,chr1,4750000,4775000
chr1_191,chr1,4775000,4800000
chr1_192,chr1,4800000,4825000
chr1_193,chr1,4825000,4850000
chr1_194,chr1,4850000,4875000
chr1_195,chr1,4875000,4900000
chr1_196,chr1,4900000,4925000
chr1_197,chr1,4925000,4950000
chr1_198,chr1,4950000,4975000
chr1_199,chr1,4975000,5000000
chr1_200,chr1,5000000,5025000
chr1_201,chr1,5025000,5050000
chr1_202,chr1,5050000,5075000
chr1_203,chr1,5075000,5100000
chr1_204,chr1,5100000,5125000
chr1_205,chr1,5125000,5150000
chr1_206,chr1,5150000,5175000
chr1_207,chr1,5175000,5200000
chr1_208,chr1,5200000,5225000
chr1_209,chr1,5225000,5250000
chr1_210,chr1,5250000,5275000
chr1_211,chr1,5275000,5300000
chr1_212,chr1,5300000,5325000
chr1_213,chr1,5325000,5350000
chr1_214,chr1,5350000,5375000
chr1_215,chr1,5375000,5400000
chr1_216,chr1,5400000,5425000
chr1_217,chr1,5425000,5450000
chr1_218,chr1,5450000,5475000
chr1_219,chr1,5475000,5500000
chr1_220,chr1,5500000,5525000
chr1_221,chr1,5525000,5550000
chr1_222,chr1,5550000,5575000
chr1_223,chr1,5575000,5600000
chr1_224,chr1,5600000,5625000
chr1_225,chr1,5625000,5650000
chr1_226,chr1,5650000,5675000
chr1_227,chr1,5675000,5700000
chr1_228,chr1,5700000,5725000
chr1_229,chr1,5725000,5750000
chr1_230,chr1,5750000,5775000
chr1_231,chr1,5775000,5800000
chr1_232,chr1,5800000,5825000
chr1_233,chr1,5825000,5850000
chr1_234,chr1,5850000,5875000
chr1_235,chr1,5875000,5900000
chr1_236,chr1,5900000,5925000
chr1_237,chr1,5925000,5950000
chr1_238,chr1,5950000,5975000
chr1_239,chr1,5975000,6000000
chr1_240,chr1,6000000,6025000
chr1_241,chr1,6025000,6050000
chr1_242,chr1,6050000,6075000
chr1_243,chr1,6075000,6100000
chr1_244,chr1,6100000,6125000
chr1_245,chr1,6125000,6150000
chr1_246,chr1,6150000,6175000
chr1_247,chr1,6175000,6200000
chr1_248,chr1,6200000,6225000
chr1_249,chr1,6225000,6250000
chr1_250,chr1,6250000,6275000
chr1_251,chr1,6275000,6300000
chr1_252,chr1,6300000,6325000
chr1_253,chr1,6325000,6350000
chr1_254,chr1,6350000,6375000
chr1_255,chr1,6375000,6400000
chr1_256,chr1,6400000,6425000
chr1_257,chr1,6425000,6450000
chr1_258,chr1,6450000,6475000
chr1_259,chr1,6475000,6500000
chr1_260,chr1,6500000,6525000
chr1_261,chr1,6525000,6550000
chr1_262,chr1,6550000,6575000
chr1_263,chr1,6575000,6600000
chr1_264,chr1,6600000,6625000
chr1_265,chr1,6625000,6650000
chr1_266,chr1,6650000,6675000
chr1_267,chr1,6675000,6700000
chr1_268,chr1,6700000,6725000
chr1_269,chr1,6725000,6750000
chr1_270,chr1,6750000,6775000
chr1_271,chr1,6775000,6800000
chr1_272,chr1,6800000,6825000
chr1_273,chr1,6825000,6850000
chr1_274,chr1,6850000,6875000
chr1_275,chr1,6875000,6900000
chr1_276,chr1,6900000,6925000
chr1_277,chr1,6925000,6950000
chr1_278,chr1,6950000,6975000
chr1_279,chr1,6975000,7000000
chr1_280,chr1,7000000,7025000
chr1_281,chr1,7025000,7050000
chr1_282,chr1,7050000,7075000
chr1_283,chr1,7075000,7100000
chr1_284,chr1,7100000,7125000
chr1_285,chr1,7125000,7150000
chr1_286,chr1,7150000,7175000
chr1_287,chr1,7175000,7200000
chr1_288,chr1,7200000,7225000
chr1_289,chr1,7225000,7250000
chr1_290,chr1,7250000,7275000
chr1_291,chr1,7275000,7300000
chr1_292,chr1,7300000,7325000
chr1_293,chr1,7325000,7350000
chr1_294,chr1,7350000,7375000
chr1_295,chr1,7375000,7400000
chr1_296,chr1,7400000,7425000
chr1_297,chr1,7425000,7450000
chr1_298,chr1,7450000,7475000
chr1_299,chr1,7475000,7500000
chr1_300,chr1,7500000,7525000
chr1_301,chr1,7525000,7550000
chr1_302,chr1,7550000,7575000
chr1_303,chr1,7575000,7600000
chr1_304,chr1,7600000,7625000
chr1_305,chr1,7625000,7650000
chr1_306,chr1,7650000,7675000
chr1_307,chr1,7675000,7700000
chr1_308,chr1,7700000,7725000
chr1_309,chr1,7725000,7750000
chr1_310,chr1,7750000,7775000
chr1_311,chr1,7775000,7800000
chr1_312,chr1,7800000,7825000
chr1_313,chr1,7825000,7850000
chr1_314,chr1,7850000,7875000
chr1_315,chr1,7875000,7900000
chr1_316,chr1,7900000,7925000
chr1_317,chr1,7925000,7950000
chr1_318,chr1,7950000,7975000
chr1_319,chr1,7975000,8000000
chr1_320,chr1,8000000,8025000
chr1_321,chr1,8025000,8050000
chr1_322,chr1,8050000,8075000
chr1_323,chr1,8075000,8100000
chr1_324,chr1,8100000,8125000
chr1_325,chr1,8125000,8150000
chr1_326,chr1,8150000,8175000
chr1_327,chr1,8175000,8200000
chr1_328,chr1,8200000,8225000
chr1_329,chr1,8225000,8250000
chr1_330,chr1,8250000,8275000
chr1_331,chr1,8275000,8300000
chr1_332,chr1,8300000,8325000
chr1_333,chr1,8325000,8350000
chr1_334,chr1,8350000,8375000
chr1_335,chr1,8375000,8400000
chr1_336,chr1,8400000,8425000
chr1_337,chr1,8425000,8450000
chr1_338,chr1,8450000,8475000
chr1_339,chr1,8475000,8500000
chr1_340,chr1,8500000,8525000
chr1_341,chr1,8525000,8550000
chr1_342,chr1,8550000,8575000
chr1_343,chr1,8575000,8600000
chr1_344,chr1,8600000,8625000
chr1_345,chr1,8625000,8650000
chr1_346,chr1,8650000,8675000
chr1_347,chr1,8675000,8700000
chr1_348,chr1,8700000,8725000
chr1_349,chr1,8725000,8750000
chr1_350,chr1,8750000,8775000
chr1_351,chr1,8775000,8800000
chr1_352,chr1,8800000,8825000
chr1_353,chr1,8825000,8850000
chr1_354,chr1,8850000,8875000
chr1_355,chr1,8875000,8900000
chr1_356,chr1,8900000,8925000
chr1_357,chr1,8925000,8950000
chr1_358,chr1,8950000,8975000
chr1_359,chr1,8975000,9000000
chr1_360,chr1,9000000,9025000
chr1_361,chr1,9025000,9050000
chr1_362,chr1,9050000,9075000
chr1_363,chr1,9075000,9100000
chr1_364,chr1,9100000,9125000
chr1_365,chr1,9125000,9150000
chr1_366,chr1,9150000,9175000
chr1_367,chr1,9175000,9200000
chr1_368,chr1,9200000,9225000
chr1_369,chr1,9225000,9250000
chr1_370,chr1,9250000,9275000
chr1_371,chr1,9275000,9300000
chr1_372,chr1,9300000,9325000
chr1_373,chr1,9325000,9350000
chr1_374,chr1,9350000,9375000
chr1_375,chr1,9375000,9400000
chr1_376,chr1,9400000,9425000
chr1_377,chr1,9425000,9450000
chr1_378,chr1,9450000,9475000
chr1_379,chr1,9475000,9500000
chr1_380,chr1,9500000,9525000
chr1_381,chr1,9525000,9550000
chr1_382,chr1,9550000,9575000
chr1_383,chr1,9575000,9600000
chr1_384,chr1,9600000,9625000
chr1_385,chr1,9625000,9650000
chr1_386,chr1,9650000,9675000
chr1_387,chr1,9675000,9700000
chr1_388,chr1,9700000,9725000
chr1_389,chr1,9725000,9750000
chr1_390,chr1,9750000,9775000
chr1_391,chr1,9775000,9800000
chr1_392,chr1,9800000,9825000
chr1_393,chr1,9825000,9850000
chr1_394,chr1,9850000,9875000
chr1_395,chr1,9875000,9900000
chr1_396,chr1,9900000,9925000
chr1_397,chr1,9925000,9950000
chr1_398,chr1,9950000,9975000
chr1_399,chr1,9975000,10000000
chr1_400,chr1,10000000,10025000
chr1_401,chr1,10025000,10050000
chr1_402,chr1,10050000,10075000
chr1_403,chr1,10075000,10100000
chr1_404,chr1,10100000,10125000
chr1_405,chr1,10125000,10150000
chr1_406,chr1,10150000,10175000
chr1_407,chr1,10175000,10200000
chr1_408,chr1,10200000,10225000
chr1_409,chr1,10225000,10250000
chr1_410,chr1,10250000,10275000
chr1_411,chr1,10275000,10300000
chr1_412,chr1,10300000,10325000
chr1_413,chr1,10325000,10350000
chr1_414,chr1,10350000,10375000
chr1_415,chr1,10375000,10400000
chr1_416,chr1,10400000,10425000
chr1_417,chr1,10425000,10450000
chr1_418,chr1,10450000,10475000
chr1_419,chr1,10475000,10500000
chr1_420,chr1,10500000,10525000
chr1_421,chr1,10525000,10550000
chr1_422,chr1,10550000,10575000
chr1_423,chr1,10575000,10600000
chr1_424,chr1,10600000,10625000
chr1_425,chr1,10625000,10650000
chr1_426,chr1,10650000,10675000
chr1_427,chr1,10675000,10700000
chr1_428,chr1,10700000,10725000
chr1_429,chr1,10725000,10750000
chr1_430,chr1,10750000,10775000
chr1_431,chr1,10775000,10800000
chr1_432,chr1,10800000,10825000
chr1_433,chr1,10825000,10850000
chr1_434,chr1,10850000,10875000
chr1_435,chr1,10875000,10900000
chr1_436,chr1,10900000,10925000
chr1_437,chr1,10925000,10950000
chr1_438,chr1,10950000,10975000
chr1_439,chr1,10975000,11000000
chr1_440,chr1,11000000,11025000
chr1_441,chr1,11025000,11050000
chr1_442,chr1,11050000,11075000
chr1_443,chr1,11075000,11100000
chr1_444,chr1,11100000,11125000
chr1_445,chr1,11125000,11150000
chr1_446,chr1,11150000,11175000
chr1_447,chr1,11175000,11200000
chr1_448,chr1,11200000,11225000
chr1_449,chr1,11225000,11250000
chr1_450,chr1,11250000,11275000
chr1_451,chr1,11275000,11300000
chr1_452,chr1,11300000,11325000
chr1_453,chr1,11325000,11350000
chr1_454,chr1,11350000,11375000
chr1_455,chr1,11375000,11400000
chr1_456,chr1,11400000,11425000
chr1_457,chr1,11425000,11450000
chr1_458,chr1,11450000,11475000
chr1_459,chr1,11475000,11500000
chr1_460,chr1,11500000,11525000
chr1_461,chr1,11525000,11550000
chr1_462,chr1,11550000,11575000
chr1_463,chr1,11575000,11600000
chr1_464,chr1,11600000,11625000
chr1_465,chr1,11625000,11650000
chr1_466,chr1,11650000,11675000
chr1_467,chr1,11675000,11700000
chr1_468,chr1,11700000,11725000
chr1_469,chr1,11725000,11750000
chr1_470,chr1,11750000,11775000
chr1_471,chr1,11775000,11800000
chr1_472,chr1,11800000,11825000
chr1_473,chr1,11825000,11850000
chr1_474,chr1,11850000,11875000
chr1_475,chr1,11875000,11900000
chr1_476,chr1,11900000,11925000
chr1_477,chr1,11925000,11950000
chr1_478,chr1,11950000,11975000
chr1_479,chr1,11975000,12000000
chr1_480,chr1,12000000,12025000
chr1_481,chr1,12025000,12050000
chr1_482,chr1,12050000,12075000
chr1_483,chr1,12075000,12100000
chr1_484,chr1,12100000,12125000
chr1_485,chr1,12125000,12150000
chr1_486,chr1,12150000,12175000
chr1_487,chr1,12175000,12200000
chr1_488,chr1,12200000,12225000
chr1_489,chr1,12225000,12250000
chr1_490,chr1,12250000,12275000
chr1_491,chr1,12275000,12300000
chr1_492,chr1,12300000,12325000
chr1_493,chr1,12325000,12350000
chr1_494,chr1,12350000,12375000
chr1_495,chr1,12375000,12400000
chr1_496,chr1,12400000,12425000
chr1_497,chr1,12425000,12450000
chr1_498,chr1,12450000,12475000
chr1_499,chr1,12475000,12500000
chr1_500,chr1,12500000,12525000
chr1_501,chr1,12525000,12550000
chr1_502,chr1,12550000,12575000
chr1_503,chr1,12575000,12600000
chr1_504,chr1,12600000,12625000
chr1_505,chr1,12625000,12650000
chr1_506,chr1,12650000,12675000
chr1_507,chr1,12675000,12700000
chr1_508,chr1,12700000,12725000
chr1_509,chr1,12725000,12750000
chr1_510,chr1,12750000,12775000
chr1_511,chr1,12775000,12800000
chr1_512,chr1,12800000,12825000
chr1_513,chr1,12825000,12850000
chr1_514,chr1,12850000,12875000
chr1_515,chr1,12875000,12900000
chr1_516,chr1,12900000,12925000
chr1_517,chr1,12925000,12950000
chr1_518,chr1,12950000,12975000
chr1_519,chr1,12975000,13000000
chr1_520,chr1,13000000,13025000
chr1_521,chr1,13025000,13050000
chr1_522,chr1,13050000,13075000
chr1_523,chr1,13075000,13100000
chr1_524,chr1,13100000,13125000
chr1_525,chr1,13125000,13150000
chr1_526,chr1,13150000,13175000
chr1_527,chr1,13175000,13200000
chr1_528,chr1,13200000,13225000
chr1_529,chr1,13225000,13250000
chr1_530,chr1,13250000,13275000
chr1_531,chr1,13275000,13300000
chr1_532,chr1,13300000,13325000
chr1_533,chr1,13325000,13350000
chr1_534,chr1,13350000,13375000
chr1_535,chr1,13375000,13400000
chr1_536,chr1,13400000,13425000
chr1_537,chr1,13425000,13450000
chr1_538,chr1,13450000,13475000
chr1_539,chr1,13475000,13500000
chr1_540,chr1,13500000,13525000
chr1_541,chr1,13525000,13550000
chr1_542,chr1,13550000,13575000
chr1_543,chr1,13575000,13600000
chr1_544,chr1,13600000,13625000
chr1_545,chr1,13625000,13650000
chr1_546,chr1,13650000,13675000
chr1_547,chr1,13675000,13700000
chr1_548,chr1,13700000,13725000
chr1_549,chr1,13725000,13750000
chr1_550,chr1,13750000,13775000
chr1_551,chr1,13775000,13800000
chr1_552,chr1,13800000,13825000
chr1_553,chr1,13825000,13850000
chr1_554,chr1,13850000,13875000
chr1_555,chr1,13875000,13900000
chr1_556,chr1,13900000,13925000
chr1_557,chr1,13925000,13950000
chr1_558,chr1,13950000,13975000
chr1_559,chr1,13975000,14000000
chr1_560,chr1,14000000,14025000
chr1_561,chr1,14025000,14050000
chr1_562,chr1,14050000,14075000
chr1_563,chr1,14075000,14100000
chr1_564,chr1,14100000,14125000
chr1_565,chr1,14125000,14150000
chr1_566,chr1,14150000,14175000
chr1_567,chr1,14175000,14200000
chr1_568,chr1,14200000,14225000
chr1_569,chr1,14225000,14250000
chr1_570,chr1,14250000,14275000
chr1_571,chr1,14275000,14300000
chr1_572,chr1,14300000,14325000
chr1_573,chr1,14325000,14350000
chr1_574,chr1,14350000,14375000
chr1_575,chr1,14375000,14400000
chr1_576,chr1,14400000,14425000
chr1_577,chr1,14425000,14450000
chr1_578,chr1,14450000,14475000
chr1_579,chr1,14475000,14500000
chr1_580,chr1,14500000,14525000
chr1_581,chr1,14525000,14550000
chr1_582,chr1,14550000,14575000
chr1_583,chr1,14575000,14600000
chr1_584,chr1,14600000,14625000
chr1_585,chr1,14625000,14650000
chr1_586,chr1,14650000,14675000
chr1_587,chr1,14675000,14700000
chr1_588,chr1,14700000,14725000
chr1_589,chr1,14725000,14750000
chr1_590,chr1,14750000,14775000
chr1_591,chr1,14775000,14800000
chr1_592,chr1,14800000,14825000
chr1_593,chr1,14825000,14850000
chr1_594,chr1,14850000,14875000
chr1_595,chr1,14875000,14900000
chr1_596,chr1,14900000,14925000
chr1_597,chr1,14925000,14950000
chr1_598,chr1,14950000,14975000
chr1_599,chr1,14975000,15000000
chr1_600,chr1,15000000,15025000
chr1_601,chr1,15025000,15050000
chr1_602,chr1,15050000,15075000
chr1_603,chr1,15075000,15100000
chr1_604,chr1,15100000,15125000
chr1_605,chr1,15125000,15150000
chr1_606,chr1,15150000,15175000
chr1_607,chr1,15175000,15200000
chr1_608,chr1,15200000,15225000
chr1_609,chr1,15225000,15250000
chr1_610,chr1,15250000,15275000
chr1_611,chr1,15275000,15300000
chr1_612,chr1,15300000,15325000
chr1_613,chr1,15325000,15350000
chr1_614,chr1,15350000,15375000
chr1_615,chr1,15375000,15400000
chr1_616,chr1,15400000,15425000
chr1_617,chr1,15425000,15450000
chr1_618,chr1,15450000,15475000
chr1_619,chr1,15475000,15500000
chr1_620,chr1,15500000,15525000
chr1_621,chr1,15525000,15550000
chr1_622,chr1,15550000,15575000
chr1_623,chr1,15575000,15600000
chr1_624,chr1,15600000,15625000
chr1_625,chr1,15625000,15650000
chr1_626,chr1,15650000,15675000
chr1_627,chr1,15675000,15700000
chr1_628,chr1,15700000,15725000
chr1_629,chr1,15725000,15750000
chr1_630,chr1,15750000,15775000
chr1_631,chr1,15775000,15800000
chr1_632,chr1,15800000,15825000
chr1_633,chr1,15825000,15850000
chr1_634,chr1,15850000,15875000
chr1_635,chr1,15875000,15900000
chr1_636,chr1,15900000,15925000
chr1_637,chr1,15925000,15950000
chr1_638,chr1,15950000,15975000
chr1_639,chr1,15975000,16000000
chr1_640,chr1,16000000,16025000
chr1_641,chr1,16025000,16050000
chr1_642,chr1,16050000,16075000
chr1_643,chr1,16075000,16100000
chr1_644,chr1,16100000,16125000
chr1_645,chr1,16125000,16150000
chr1_646,chr1,16150000,16175000
chr1_647,chr1,16175000,16200000
chr1_648,chr1,16200000,16225000
chr1_649,chr1,16225000,16250000
chr1_650,chr1,16250000,16275000
chr1_651,chr1,16275000,16300000
chr1_652,chr1,16300000,16325000
chr1_653,chr1,16325000,16350000
chr1_654,chr1,16350000,16375000
chr1_655,chr1,16375000,16400000
chr1_656,chr1,16400000,16425000
chr1_657,chr1,16425000,16450000
chr1_658,chr1,16450000,16475000
chr1_659,chr1,16475000,16500000
chr1_660,chr1,16500000,16525000
chr1_661,chr1,16525000,16550000
chr1_662,chr1,16550000,16575000
chr1_663,chr1,16575000,16600000
chr1_664,chr1,16600000,16625000
chr1_665,chr1,16625000,16650000
chr1_666,chr1,16650000,16675000
chr1_667,chr1,16675000,16700000
chr1_668,chr1,16700000,16725000
chr1_669,chr1,16725000,16750000
chr1_670,chr1,16750000,16775000
chr1_671,chr1,16775000,16800000
chr1_672,chr1,16800000,16825000
chr1_673,chr1,16825000,16850000
chr1_674,chr1,16850000,16875000
chr1_675,chr1,16875000,16900000
chr1_676,chr1,16900000,16925000
chr1_677,chr1,16925000,16950000
chr1_678,chr1,16950000,16975000
chr1_679,chr1,16975000,17000000
chr1_680,chr1,17000000,17025000
chr1_681,chr1,17025000,17050000
chr1_682,chr1,17050000,17075000
chr1_683,chr1,17075000,17100000
chr1_684,chr1,17100000,17125000
chr1_685,chr1,17125000,17150000
chr1_686,chr1,17150000,17175000
chr1_687,chr1,17175000,17200000
chr1_688,chr1,17200000,17225000
chr1_689,chr1,17225000,17250000
chr1_690,chr1,17250000,17275000
chr1_691,chr1,17275000,17300000
chr1_692,chr1,17300000,17325000
chr1_693,chr1,17325000,17350000
chr1_694,chr1,17350000,17375000
chr1_695,chr1,17375000,17400000
chr1_696,chr1,17400000,17425000
chr1_697,chr1,17425000,17450000
chr1_698,chr1,17450000,17475000
chr1_699,chr1,17475000,17500000
chr1_700,chr1,17500000,17525000
chr1_701,chr1,17525000,17550000
chr1_702,chr1,17550000,17575000
chr1_703,chr1,17575000,17600000
chr1_704,chr1,17600000,17625000
chr1_705,chr1,17625000,17650000
chr1_706,chr1,17650000,17675000
chr1_707,chr1,17675000,17700000
chr1_708,chr1,17700000,17725000
chr1_709,chr1,17725000,17750000
chr1_710,chr1,17750000,17775000
chr1_711,chr1,17775000,17800000
chr1_712,chr1,17800000,17825000
chr1_713,chr1,17825000,17850000
chr1_714,chr1,17850000,17875000
chr1_715,chr1,17875000,17900000
chr1_716,chr1,17900000,17925000
chr1_717,chr1,17925000,17950000
chr1_718,chr1,17950000,17975000
chr1_719,chr1,17975000,18000000
chr1_720,chr1,18000000,18025000
chr1_721,chr1,18025000,18050000
chr1_722,chr1,18050000,18075000
chr1_723,chr1,18075000,18100000
chr1_724,chr1,18100000,18125000
chr1_725,chr1,18125000,18150000
chr1_726,chr1,18150000,18175000
chr1_727,chr1,18175000,18200000
chr1_728,chr1,18200000,18225000
chr1_729,chr1,18225000,18250000
chr1_730,chr1,18250000,18275000
chr1_731,chr1,18275000,18300000
chr1_732,chr1,18300000,18325000
chr1_733,chr1,18325000,18350000
chr1_734,chr1,18350000,18375000
chr1_735,chr1,18375000,18400000
chr1_736,chr1,18400000,18425000
chr1_737,chr1,18425000,18450000
chr1_738,chr1,18450000,18475000
chr1_739,chr1,18475000,18500000
chr1_740,chr1,18500000,18525000
chr1_741,chr1,18525000,18550000
chr1_742,chr1,18550000,18575000
chr1_743,chr1,18575000,18600000
chr1_744,chr1,18600000,18625000
chr1_745,chr1,18625000,18650000
chr1_746,chr1,18650000,18675000
chr1_747,chr1,18675000,18700000
chr1_748,chr1,18700000,18725000
chr1_749,chr1,18725000,18750000
chr1_750,chr1,18750000,18775000
chr1_751,chr1,18775000,18800000
chr1_752,chr1,18800000,18825000
chr1_753,chr1,18825000,18850000
chr1_754,chr1,18850000,18875000
chr1_755,chr1,18875000,18900000
chr1_756,chr1,18900000,18925000
chr1_757,chr1,18925000,18950000
chr1_758,chr1,18950000,18975000
chr1_759,chr1,18975000,19000000
chr1_760,chr1,19000000,19025000
chr1_761,chr1,19025000,19050000
chr1_762,chr1,19050000,19075000
chr1_763,chr1,19075000,19100000
chr1_764,chr1,19100000,19125000
chr1_765,chr1,19125000,19150000
chr1_766,chr1,19150000,19175000
chr1_767,chr1,19175000,19200000
chr1_768,chr1,19200000,19225000
chr1_769,chr1,19225000,19250000
chr1_770,chr1,19250000,19275000
chr1_771,chr1,19275000,19300000
chr1_772,chr1,19300000,19325000
chr1_773,chr1,19325000,19350000
chr1_774,chr1,19350000,19375000
chr1_775,chr1,19375000,19400000
chr1_776,chr1,19400000,19425000
chr1_777,chr1,19425000,19450000
chr1_778,chr1,19450000,19475000
chr1_779,chr1,19475000,19500000
chr1_780,chr1,19500000,19525000
