PeakID (cmd=annotatePeaks.pl 500_result/Hyper.hotspot.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
205	chr4	89275001	89275500	+	0	NA	intron (NM_009877, intron 2 of 2)	intron (NM_009877, intron 2 of 2)	6942	NM_001040654	12578	Mm.4733	NM_009877	ENSMUSG00000044303	Cdkn2a	ARF-INK4a|Arf|INK4a-ARF|Ink4a/Arf|MTS1|Pctr1|p16|p16(INK4a)|p16INK4a|p19<ARF>|p19ARF	cyclin dependent kinase inhibitor 2A	protein-coding
39	chr1	169906501	169907000	+	0	NA	Intergenic	Intergenic	-22189	NM_001033185	78465	Mm.291078	NM_001033185	ENSMUSG00000070532	Ccdc190	1700084C01Rik	coiled-coil domain containing 190	protein-coding
459	chr7	49915501	49916000	+	0	NA	intron (NM_148931, intron 2 of 14)	intron (NM_148931, intron 2 of 14)	4050	NM_148931	104245	Mm.207053	NM_148931	ENSMUSG00000039728	Slc6a5	Glyt2|prestin	solute carrier family 6 (neurotransmitter transporter, glycine), member 5	protein-coding
853	chr16	17124501	17125000	+	0	NA	promoter-TSS (NR_029659)	promoter-TSS (NR_029659)	-254	NR_030415	791069		NR_030415	ENSMUSG00000076288	Mir301b	Mirn301b|mir-301b	microRNA 301b	ncRNA
669	chr11	22972501	22973000	+	0	NA	5' UTR (NM_011663, exon 1 of 1)	5' UTR (NM_011663, exon 1 of 1)	116	NM_001361661	17846	Mm.259903	NM_144514	ENSMUSG00000051355	Commd1	AI256843|Murr1|U2/Mu	COMM domain containing 1	protein-coding
325	chr6	100376501	100377000	+	0	NA	Intergenic	Intergenic	-89392	NM_019743	56353	Mm.321633	NM_019743	ENSMUSG00000072872	Rybp	2410018J24Rik|DEDAF|YEAF1	RING1 and YY1 binding protein	protein-coding
239	chr4	132950001	132950500	+	0	NA	Intergenic	Intergenic	-23845	NM_010208	14191	Mm.271665	NM_010208	ENSMUSG00000028874	Fgr	Ali18|Mhdaali18	FGR proto-oncogene, Src family tyrosine kinase	protein-coding
552	chr9	20815001	20815500	+	0	NA	promoter-TSS (NM_016919)	promoter-TSS (NM_016919)	-183	NM_001317388	53867	Mm.334994	NM_016919	ENSMUSG00000004098	Col5a3	-	collagen, type V, alpha 3	protein-coding
574	chr9	37384501	37385000	+	0	NA	exon (NM_175189, exon 7 of 7)	exon (NM_175189, exon 7 of 7)	17144	NM_175189	72927	Mm.266133	NM_175189	ENSMUSG00000046240	Hepacam	2900042E01Rik|Glialcam|Hepn1	hepatocyte cell adhesion molecule	protein-coding
551	chr9	65122501	65123000	+	0	NA	exon (NM_001290315, exon 6 of 20)	exon (NM_001290315, exon 6 of 20)	-18404	NM_008988	19289	Mm.41529	NM_008988	ENSMUSG00000032394	Igdcc3	2810401C09Rik|AI851425|Punc|WI-14920	immunoglobulin superfamily, DCC subclass, member 3	protein-coding
126	chr2	162485501	162486000	+	0	NA	intron (NM_001291151, intron 1 of 30)	(CACG)n|Simple_repeat|Simple_repeat	94937	NR_040617	77645	Mm.447752	NR_040617	ENSMUSG00000084919	Ptprtos	C330008G21Rik	protein tyrosine phosphatase, receptor type T, opposite strand	ncRNA
268	chr5	76856001	76856500	+	0	NA	intron (NM_001163793, intron 5 of 8)	intron (NM_001163793, intron 5 of 8)	15651	NM_001163793	320827	Mm.101504	NM_001163793	ENSMUSG00000036377	C530008M17Rik	2810489J07Rik|4930529A19Rik|4931405B09Rik|Crad|mKIAA1211	RIKEN cDNA C530008M17 gene	protein-coding
638	chr11	109751501	109752000	+	0	NA	Intergenic	Intergenic	-29512	NM_153782	208659	Mm.208662	NM_153782	ENSMUSG00000020614	Fam20a	AI606893	family with sequence similarity 20, member A	protein-coding
378	chr7	78147001	78147500	+	0	NA	Intergenic	Intergenic	430588	NM_182809	18213	Mm.33496	NM_008746	ENSMUSG00000059146	Ntrk3	AW125844|Ntrk3_tv3|TrkC	neurotrophic tyrosine kinase, receptor, type 3	protein-coding
438	chr7	16158501	16159000	+	0	NA	intron (NM_148946, intron 9 of 9)	intron (NM_148946, intron 9 of 9)	-16645	NM_001277989	17537	Mm.360516	NM_008627	ENSMUSG00000041420	Meis3	AI573393|Mrg2	Meis homeobox 3	protein-coding
290	chr5	120136501	120137000	+	0	NA	intron (NM_028762, intron 16 of 23)	intron (NM_028762, intron 16 of 23)	2513	NR_045793	100503427	Mm.446834	NR_045793	ENSMUSG00000097368	Gm10390	-	predicted gene 10390	ncRNA
561	chr9	118480501	118481000	+	0	NA	intron (NM_001164789, intron 2 of 5)	intron (NM_001164789, intron 2 of 5)	2561	NM_010136	13813	Mm.200692	NM_010136	ENSMUSG00000032446	Eomes	C77258|TBR-2|Tbr2	eomesodermin	protein-coding
343	chr6	85226501	85227000	+	0	NA	intron (NM_178639, intron 13 of 13)	intron (NM_178639, intron 13 of 13)	38819	NM_010131	13796	Mm.391473	NM_010131	ENSMUSG00000033726	Emx1	-	empty spiracles homeobox 1	protein-coding
177	chr3	35324001	35324500	+	0	NA	Intergenic	Intergenic	341913	NR_040748	625963	Mm.251506	NR_040748	ENSMUSG00000105662	Gm6639	-	predicted gene 6639	ncRNA
1	chr1	133890001	133890500	+	0	NA	Intergenic	Intergenic	16923	NM_001160422	269120	Mm.59985	NM_054076	ENSMUSG00000010311	Optc	-	opticin	protein-coding
546	chr9	61597001	61597500	+	0	NA	Intergenic	Intergenic	224884	NM_001083927	21887	Mm.24255	NM_009389	ENSMUSG00000032280	Tle3	2610103N05Rik|ESG|Grg3a|Grg3b|mKIAA1547	transducin-like enhancer of split 3	protein-coding
258	chr5	111419001	111419500	+	0	NA	exon (NM_001081235, exon 2 of 3)	exon (NM_001081235, exon 2 of 3)	1950	NM_001081235	433938	Mm.332576	NM_001081235	ENSMUSG00000070576	Mn1	AA003644|AA009236	meningioma 1	protein-coding
469	chr8	84785001	84785500	+	0	NA	intron (NM_010906, intron 1 of 8)	intron (NM_010906, intron 1 of 8)	-5168	NM_001371062								
562	chr9	119519001	119519500	+	0	NA	intron (NM_021544, intron 16 of 27)	intron (NM_021544, intron 16 of 27)	43428	NM_001253860	20271	Mm.103584	NM_021544	ENSMUSG00000032511	Scn5a	Nav1.5|Nav1.5c|SkM1|SkM2|mH1	sodium channel, voltage-gated, type V, alpha	protein-coding
863	chr17	66479001	66479500	+	0	NA	Intergenic	Intergenic	-29500	NM_172963	68617	Mm.33421	NM_172963	ENSMUSG00000052105	Mtcl1	1110012J17Rik|Ccdc165|D130071O13|Kiaa0802|Soga2|mKIAA0802|t8219b25	microtubule crosslinking factor 1	protein-coding
659	chr11	102606001	102606500	+	0	NA	exon (NM_020510, exon 1 of 1)	exon (NM_020510, exon 1 of 1)	1819	NM_020510	57265	Mm.36416	NM_020510	ENSMUSG00000050288	Fzd2	AL033370|AW456835|Fz10|Fzd10|Mfz10|Mfz10a	frizzled class receptor 2	protein-coding
304	chr5	28457501	28458000	+	0	NA	3' UTR (NM_009170, exon 3 of 3)	3' UTR (NM_009170, exon 3 of 3)	-9234	NR_015562	654796	Mm.57202	NR_015562	ENSMUSG00000097726	9530036O11Rik	-	RIKEN cDNA 9530036O11Rik	ncRNA
508	chr8	122336501	122337000	+	0	NA	exon (NM_009569, exon 10 of 10)	exon (NM_009569, exon 10 of 10)	26078	NM_133202	170732	Mm.154808	NM_133202	ENSMUSG00000039079	Trhr2	TRH-R2	thyrotropin releasing hormone receptor 2	protein-coding
969	chrX	60547001	60547500	+	0	NA	promoter-TSS (NM_001271548)	promoter-TSS (NM_001271548)	-758	NM_001271548	279618	Mm.296522	NM_001271548		Gm715	-	predicted gene 715	protein-coding
163	chr3	88536001	88536500	+	0	NA	TTS (NR_035434)	TTS (NR_035434)	132	NR_035434	100316808		NR_035434	ENSMUSG00000084728	Mir1905	Mirn1905|mmu-mir-1905	microRNA 1905	ncRNA
247	chr4	8922001	8922500	+	0	NA	Intergenic	CpG	170926	NM_001355382	320790	Mm.138792	NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding
738	chr13	83799001	83799500	+	0	NA	Intergenic	L1_Mus3|LINE|L1	-60374	NR_162784	114482820		NR_162784		Mir9b-2	mmu-mir-9b-2	microRNA mir-9b-2	ncRNA
224	chr4	151376001	151376500	+	0	NA	intron (NM_001081557, intron 5 of 23)	intron (NM_001081557, intron 5 of 23)	286680	NM_001308446	105704528	Mm.415128	NM_001308446	ENSMUSG00000078491	Gm13090	-	predicted gene 13090	protein-coding
565	chr9	107901001	107901500	+	0	NA	exon (NM_028369, exon 4 of 6)	exon (NM_028369, exon 4 of 6)	-5639	NR_109782	19882	Mm.3901	NM_009074	ENSMUSG00000032584	Mst1r	CD136|CDw136|Fv-2|Fv2|PTK8|Ron|STK	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	protein-coding
938	chr19	59469001	59469500	+	0	NA	Intergenic	CpG	10560	NM_010132	13797	Mm.245394	NM_010132	ENSMUSG00000043969	Emx2	Pdo	empty spiracles homeobox 2	protein-coding
8	chr1	138500001	138500500	+	0	NA	intron (NM_021605, intron 8 of 9)	intron (NM_021605, intron 8 of 9)	119507	NM_001311148	59125	Mm.143817	NM_021605	ENSMUSG00000026393	Nek7	2810460C19Rik|AU020186	NIMA (never in mitosis gene a)-related expressed kinase 7	protein-coding
389	chr7	128688001	128688500	+	0	NA	promoter-TSS (NM_001346517)	promoter-TSS (NM_001346517)	-620	NM_001346517	101490	Mm.490344	NM_178641	ENSMUSG00000042105	Inpp5f	5830435P03Rik|AI115354|AW561896|SAC2|cI-27|hSAC2|mKIAA0966	inositol polyphosphate-5-phosphatase F	protein-coding
31	chr1	155463501	155464000	+	0	NA	Intergenic	Intergenic	-46306	NM_011273	19775	Mm.266215	NM_011273	ENSMUSG00000026469	Xpr1	Rmc-1|Rmc1|Sxv|Syg1|XR	xenotropic and polytropic retrovirus receptor 1	protein-coding
769	chr14	122384501	122385000	+	0	NA	intron (NM_029556, intron 7 of 7)	intron (NM_029556, intron 7 of 7)	66365	NR_033325	328479	Mm.86095	NR_033325	ENSMUSG00000064052	Gm5089	6530402A20|C030005G22Rik|EG328479	predicted gene 5089	ncRNA
877	chr17	78322501	78323000	+	0	NA	intron (NM_015800, intron 7 of 16)	intron (NM_015800, intron 7 of 16)	95402	NM_001360407	225020	Mm.236835	NM_199448	ENSMUSG00000056121	Fez2	9030616F16|D17Ertd315e	fasciculation and elongation protein zeta 2 (zygin II)	protein-coding
920	chr18	34863001	34863500	+	0	NA	exon (NM_007913, exon 2 of 2)	exon (NM_007913, exon 2 of 2)	2043	NM_007913	13653	Mm.181959	NM_007913	ENSMUSG00000038418	Egr1	A530045N19Rik|ETR103|Egr-1|Krox-1|Krox-24|Krox24|NGF1-A|NGFI-A|NGFIA|TIS8|Zenk|Zfp-6|Zif268|egr	early growth response 1	protein-coding
122	chr2	181148001	181148500	+	0	NA	intron (NM_007906, intron 7 of 7)	intron (NM_007906, intron 7 of 7)	8765	NM_007906	13628	Mm.2645	NM_007906	ENSMUSG00000016349	Eef1a2	EEF1AL|EF-1-alpha-2|Eef1a|S1|STN|wasted|wst	eukaryotic translation elongation factor 1 alpha 2	protein-coding
937	chr19	59464001	59464500	+	0	NA	3' UTR (NM_010132, exon 3 of 3)	3' UTR (NM_010132, exon 3 of 3)	5560	NM_010132	13797	Mm.245394	NM_010132	ENSMUSG00000043969	Emx2	Pdo	empty spiracles homeobox 2	protein-coding
649	chr11	117599501	117600000	+	0	NA	Intergenic	C-rich|Low_complexity|Low_complexity	-11497	NR_015489	78403	Mm.212543	NR_015489		2900041M22Rik	-	RIKEN cDNA 2900041M22 gene	ncRNA
878	chr17	12741501	12742000	+	0	NA	intron (NR_027773, intron 1 of 2)	CpG	439	NR_002853	104103	Mm.26553	NR_002853	ENSMUSG00000078247	Airn	2810051F02Rik|2810434M15Rik|AI256653|AI597500|AW049873|Air|B930018I07Rik|D17Ertd663e|IGF2RAS	antisense Igf2r RNA	ncRNA
89	chr2	34671501	34672000	+	0	NA	Intergenic	Intergenic	83482	NR_151469	66691	Mm.156452	NM_025709	ENSMUSG00000026867	Gapvd1	2010005B09Rik|4432404J10Rik|AW108497|Gapex-5|RAP6|RME-6|mKIAA1521	GTPase activating protein and VPS9 domains 1	protein-coding
720	chr12	111275501	111276000	+	0	NA	intron (NM_033603, intron 10 of 11)	CpG-3529	4654	NM_033603	93835	Mm.197639	NM_033603	ENSMUSG00000021278	Amn	-	amnionless	protein-coding
494	chr8	121128001	121128500	+	0	NA	exon (NM_008024, exon 1 of 1)	exon (NM_008024, exon 1 of 1)	565	NM_008024	14241	Mm.5111	NM_008024	ENSMUSG00000097084	Foxl1	FREAC7|Fkh6|fkh-6	forkhead box L1	protein-coding
507	chr8	126979001	126979500	+	0	NA	intron (NR_151744, intron 1 of 1)	intron (NR_151744, intron 1 of 1)	188	NR_151744	629746	Mm.264954	NR_151744		Gm29688	-	predicted gene, 29688	ncRNA
825	chr15	80513001	80513500	+	0	NA	intron (NM_001163189, intron 3 of 5)	intron (NM_001163189, intron 3 of 5)	47220	NM_001163189	383075	Mm.297626	NM_001163189	ENSMUSG00000050439	Enthd1	Gm1242|Gm86	ENTH domain containing 1	protein-coding
353	chr6	53289001	53289500	+	0	NA	intron (NM_001327821, intron 1 of 10)	intron (NM_001327821, intron 1 of 10)	1947	NM_001327821	231991	Mm.227444	NM_172728	ENSMUSG00000053007	Creb5	9430076C15Rik|CRE-BPa|Crebpa|D430026C09Rik	cAMP responsive element binding protein 5	protein-coding
248	chr4	9843001	9843500	+	0	NA	Intergenic	Intergenic	-1122	NM_013526	242316	Mm.302555	NM_013526	ENSMUSG00000051279	Gdf6	BMP-13|BMP13|GDF16	growth differentiation factor 6	protein-coding
737	chr13	81228001	81228500	+	0	NA	intron (NM_054053, intron 85 of 89)	intron (NM_054053, intron 85 of 89)	264176	NR_015587	319983	Mm.343027	NR_015587	ENSMUSG00000097098	9330111N05Rik	-	RIKEN cDNA 9330111N05 gene	ncRNA
556	chr9	28172001	28172500	+	0	NA	Intergenic	Intergenic	-232078	NM_177906	330908	Mm.379474	NM_177906	ENSMUSG00000062257	Opcml	2900075O15Rik|3732419F12|AI844366|B930023M13Rik|C230027C17|Gm181|Obcam	opioid binding protein/cell adhesion molecule-like	protein-coding
121	chr2	181307001	181307500	+	0	NA	exon (NM_009133, exon 4 of 5)	exon (NM_009133, exon 4 of 5)	7250	NM_009133	20262	Mm.2319	NM_009133	ENSMUSG00000027581	Stmn3	9330161A03Rik|AI604839|R75323|Sclip	stathmin-like 3	protein-coding
19	chr1	190526501	190527000	+	0	NA	Intergenic	Intergenic	123102	NR_151624	433390	Mm.331295	NR_151624	ENSMUSG00000103644	Gm29678	-	predicted gene, 29678	ncRNA
821	chr15	99584001	99584500	+	0	NA	3' UTR (NM_009699, exon 4 of 4)	3' UTR (NM_009699, exon 4 of 4)	5194	NM_009699	11827	Mm.20206	NM_009699	ENSMUSG00000023013	Aqp2	AQP-CD|WCH-CD|cph|jpk	aquaporin 2	protein-coding
125	chr2	162919501	162920000	+	0	NA	Intergenic	(T)n|Simple_repeat|Simple_repeat	-11758	NM_026499	67996	Mm.24042	NM_026499	ENSMUSG00000016921	Srsf6	1210001E11Rik|AI314910|AW146126|Sfrs6	serine/arginine-rich splicing factor 6	protein-coding
60	chr1	90222501	90223000	+	0	NA	Intergenic	Intergenic	18770	NM_007722	12778	Mm.6522	NM_007722	ENSMUSG00000044337	Ackr3	AW541270|CXC-R7|CXCR-7|Cmkor1|Cxcr7|RDC-1|Rdc1	atypical chemokine receptor 3	protein-coding
326	chr6	98994001	98994500	+	0	NA	intron (NM_001197321, intron 8 of 17)	intron (NM_001197321, intron 8 of 17)	34048	NM_001197322	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
437	chr7	16159001	16159500	+	0	NA	3' UTR (NM_001347561, exon 9 of 9)	3' UTR (NM_001347561, exon 9 of 9)	-16145	NM_001277989	17537	Mm.360516	NM_008627	ENSMUSG00000041420	Meis3	AI573393|Mrg2	Meis homeobox 3	protein-coding
822	chr15	99585001	99585500	+	0	NA	TTS (NM_009699)	TTS (NM_009699)	-5778	NM_009701	11830	Mm.45580	NM_009701	ENSMUSG00000044217	Aqp5	-	aquaporin 5	protein-coding
523	chr8	12390501	12391000	+	0	NA	intron (NR_027975, intron 1 of 7)	intron (NR_027975, intron 1 of 7)	-4769	NM_009233	20664	Mm.39088	NM_009233	ENSMUSG00000096014	Sox1	BB176347|Sox-1	SRY (sex determining region Y)-box 1	protein-coding
614	chr10	30844001	30844500	+	0	NA	Intergenic	Intergenic	-1467	NM_013904	15214	Mm.103573	NM_013904	ENSMUSG00000019789	Hey2	CHF1|Herp1|Hrt2|bHLHb32|hesr2	hairy/enhancer-of-split related with YRPW motif 2	protein-coding
206	chr4	142085001	142085500	+	0	NA	promoter-TSS (NM_145402)	promoter-TSS (NM_145402)	-946	NM_145402	214359	Mm.27587	NM_145402	ENSMUSG00000040616	Tmem51	BC003277	transmembrane protein 51	protein-coding
178	chr3	38263501	38264000	+	0	NA	Intergenic	Intergenic	-55631	NR_040541	71342	Mm.410782	NR_040541	ENSMUSG00000106002	5430434I15Rik	-	RIKEN cDNA 5430434I15 gene	ncRNA
420	chr7	19179501	19180000	+	0	NA	intron (NM_001347582, intron 3 of 21)	CpG-12751	-1420	NM_001162996	72205	Mm.154121	NM_028153	ENSMUSG00000040811	Eml2	1600029N02Rik|EMAP-2	echinoderm microtubule associated protein like 2	protein-coding
794	chr15	75732001	75732500	+	0	NA	Intergenic	Intergenic	16071	NM_194350	378435		NM_194350	ENSMUSG00000047591	Mafa	RIPE3b1	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein A (avian)	protein-coding
683	chr11	3156501	3157000	+	0	NA	intron (NM_030207, intron 12 of 32)	intron (NM_030207, intron 12 of 32)	32748	NR_003517	236604	Mm.247625	NM_001004146		Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
257	chr5	95974001	95974500	+	0	NA	Intergenic	Intergenic	17311	NM_018866	55985	Mm.10116	NM_018866	ENSMUSG00000023078	Cxcl13	4631412M08Rik|ANGIE2|Angie|BCA-1|BLC|BLR1L|Scyb13	chemokine (C-X-C motif) ligand 13	protein-coding
620	chr11	88294001	88294500	+	0	NA	exon (NM_028859, exon 1 of 1)	exon (NM_028859, exon 1 of 1)	207	NM_028859	74297	Mm.207320	NM_028859	ENSMUSG00000034031	Ccdc182	1700106J16Rik	coiled-coil domain containing 182	protein-coding
483	chr8	91856001	91856500	+	0	NA	Intergenic	Intergenic	-54596	NM_008393	16373	Mm.238044	NM_008393	ENSMUSG00000031734	Irx3	AI894186	Iroquois related homeobox 3	protein-coding
267	chr5	77114501	77115000	+	0	NA	intron (NM_175606, intron 1 of 2)	intron (NM_175606, intron 1 of 2)	373	NM_175606	74318	Mm.181852	NM_175606	ENSMUSG00000059325	Hopx	1110018K11Rik|1200015P04Rik|2300002F06Rik|AI848177|AW490897|Cameo|Hdop|Hod|Hop|Ob1|Obl|Toto	HOP homeobox	protein-coding
889	chr17	44737501	44738000	+	0	NA	intron (NM_001146038, intron 2 of 8)	intron (NM_001146038, intron 2 of 8)	-1102	NM_001145920	12393	Mm.391013	NM_009820	ENSMUSG00000039153	Runx2	AML3|Cbf|Cbfa-1|Cbfa1|LS3|Osf2|PEBP2aA|Pebp2a1|Pebpa2a	runt related transcription factor 2	protein-coding
3	chr1	131972001	131972500	+	0	NA	intron (NM_145977, intron 1 of 4)	intron (NM_145977, intron 1 of 4)	1641	NM_145977	212980	Mm.200307	NM_145977	ENSMUSG00000026435	Slc45a3	2210413P12Rik|AU023994|AU043764|IPCA-6|PRST|Pcanap6	solute carrier family 45, member 3	protein-coding
637	chr11	113099501	113100000	+	0	NA	intron (NR_015556, intron 1 of 2)	(GAGAA)n|Simple_repeat|Simple_repeat	102088	NR_015556	72386	Mm.266961	NR_015556	ENSMUSG00000087259	2610035D17Rik	-	RIKEN cDNA 2610035D17 gene	ncRNA
377	chr7	100532001	100532500	+	0	NA	Intergenic	RSINE1|SINE|B4	-4850	NM_183270	68185	Mm.228995	NM_183270	ENSMUSG00000044881	Coa4	5330414O08Rik|AI115477|AW047259|Chchd8|E2ig2	cytochrome c oxidase assembly factor 4	protein-coding
580	chr9	40391501	40392000	+	0	NA	intron (NM_001357617, intron 2 of 20)	intron (NM_001357617, intron 2 of 20)	-15333	NR_151734	235283	Mm.138434	NM_172768	ENSMUSG00000040111	Gramd1b	3222402H23|A930008A22Rik|AI593249|mKIAA1201	GRAM domain containing 1B	protein-coding
414	chr7	118597501	118598000	+	0	NA	TTS (NM_001331203)	TTS (NM_001331203)	453	NM_001105252	74424	Mm.11068	NM_028930	ENSMUSG00000030650	Tmc5	4932443L08Rik|AU016085	transmembrane channel-like gene family 5	protein-coding
143	chr2	128139501	128140000	+	0	NA	intron (NM_207680, intron 2 of 3)	intron (NM_207680, intron 2 of 3)	12175	NM_001284410	12125	Mm.141083	NM_009754	ENSMUSG00000027381	Bcl2l11	1500006F24Rik|Bim|Bod|bcl2-L-11	BCL2-like 11 (apoptosis facilitator)	protein-coding
949	chr19	23892501	23893000	+	0	NA	5' UTR (NM_177034, exon 2 of 13)	5' UTR (NM_177034, exon 2 of 13)	133874	NM_177034	319924	Mm.22879	NM_177034	ENSMUSG00000024897	Apba1	6430513E09Rik|Lin-10|Mint|Mint1|Urop11|X11|X11alpha	amyloid beta (A4) precursor protein binding, family A, member 1	protein-coding
81	chr2	70477001	70477500	+	0	NA	3' UTR (NM_022435, exon 2 of 2)	3' UTR (NM_022435, exon 2 of 2)	2327	NM_022435	64406	Mm.423397	NM_022435	ENSMUSG00000075304	Sp5	-	trans-acting transcription factor 5	protein-coding
40	chr1	168662501	168663000	+	0	NA	Intergenic	Intergenic	172107	NR_105766	102465178		NR_105766	ENSMUSG00000098407	Mir6348	Gm27412|mmu-mir-6348	microRNA 6348	ncRNA
545	chr9	74148501	74149000	+	0	NA	exon (NM_001033500, exon 9 of 20)	exon (NM_001033500, exon 9 of 20)	38416	NM_001033500	546144	Mm.335289	NM_177908	ENSMUSG00000044976	Wdr72	AW558070|D230040E23	WD repeat domain 72	protein-coding
804	chr15	91047501	91048000	+	0	NA	intron (NM_001109041, intron 1 of 35)	intron (NM_001109041, intron 1 of 35)	2201	NM_001109042	16564	Mm.41379	NM_016705	ENSMUSG00000022629	Kif21a	-	kinesin family member 21A	protein-coding
749	chr13	34131001	34131500	+	0	NA	promoter-TSS (NM_023716)	promoter-TSS (NM_023716)	-896	NM_023716	73710	Mm.379227	NM_023716	ENSMUSG00000045136	Tubb2b	2410129E14Rik|brdp	tubulin, beta 2B class IIB	protein-coding
714	chr12	67348001	67348500	+	0	NA	Intergenic	(GAAA)n|Simple_repeat|Simple_repeat	-125701	NM_001193266	320772	Mm.227680	NM_207010	ENSMUSG00000034912	Mdga2	6720489L24Rik|9330209L04Rik|Adp|Mamdc1|Tg(Prnp-PFN1*G118V)838Kiaei	MAM domain containing glycosylphosphatidylinositol anchor 2	protein-coding
104	chr2	28912501	28913000	+	0	NA	promoter-TSS (NM_001355435)	promoter-TSS (NM_001355435)	-255	NM_001355435	54422	Mm.21390	NM_019446	ENSMUSG00000026805	Barhl1	Dres115|MBH2	BarH like homeobox 1	protein-coding
541	chr9	58312001	58312500	+	0	NA	exon (NM_010729, exon 1 of 7)	exon (NM_010729, exon 1 of 7)	962	NM_010729	16949	Mm.250492	NM_010729	ENSMUSG00000032334	Loxl1	Loxl	lysyl oxidase-like 1	protein-coding
783	chr14	28518001	28518500	+	0	NA	intron (NM_009524, intron 3 of 4)	intron (NM_009524, intron 3 of 4)	6845	NM_001256224	22418	Mm.287544	NM_009524	ENSMUSG00000021994	Wnt5a	8030457G12Rik|Wnt-5a	wingless-type MMTV integration site family, member 5A	protein-coding
273	chr5	139585501	139586000	+	0	NA	Intergenic	Intergenic	41852	NM_013702	22255	Mm.42190	NM_013702	ENSMUSG00000029546	Uncx	Chx4|Uncx4.1	UNC homeobox	protein-coding
