PeakID (cmd=annotatePeaks.pl 500_result/Hypo.hotspot.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
2910	chr15	82949001	82949500	+	0	NA	Intergenic	Intergenic	10046	NR_037241	100526477		NR_037241	ENSMUSG00000092751	Mir3080	mmu-mir-3080	microRNA 3080	ncRNA
353	chr2	163447501	163448000	+	0	NA	intron (NR_153379, intron 3 of 6)	intron (NR_153379, intron 3 of 6)	9274	NR_153379	228858	Mm.102080	NM_144891	ENSMUSG00000017943	Gdap1l1	Gdap1l	ganglioside-induced differentiation-associated protein 1-like 1	protein-coding
1862	chr9	121454001	121454500	+	0	NA	intron (NM_001357970, intron 12 of 15)	intron (NM_001357970, intron 12 of 15)	41444	NM_031161	12424	Mm.2619	NM_031161	ENSMUSG00000032532	Cck	-	cholecystokinin	protein-coding
1006	chr5	125148001	125148500	+	0	NA	intron (NM_011424, intron 1 of 46)	intron (NM_011424, intron 1 of 46)	30964	NM_001253904	20602	Mm.278646	NM_011424	ENSMUSG00000029478	Ncor2	N-CoR|SMRT|SMRTe	nuclear receptor co-repressor 2	protein-coding
1940	chr10	18224501	18225000	+	0	NA	intron (NM_144820, intron 3 of 5)	intron (NM_144820, intron 3 of 5)	10231	NM_144820	215814	Mm.296565	NM_144820	ENSMUSG00000059554	Ccdc28a	1700009P13Rik|AI480677	coiled-coil domain containing 28A	protein-coding
3416	chr19	4745501	4746000	+	0	NA	intron (NM_021287, intron 24 of 36)	intron (NM_021287, intron 24 of 36)	-10775	NM_025717	66704	Mm.396734	NM_025717	ENSMUSG00000033760	Rbm4b	4921506I22Rik|AI504630|AI506404|Lark2|Neosin	RNA binding motif protein 4B	protein-coding
1267	chr6	31149501	31150000	+	0	NA	intron (NR_110471, intron 2 of 3)	intron (NR_110471, intron 2 of 3)	68724	NR_110470	232685	Mm.443019	NM_144555	ENSMUSG00000044471	Lncpint	Lincpint|MNCb-1768|Pint|linc-Pint	long non-protein coding RNA, Trp53 induced transcript	ncRNA
2271	chr11	116149501	116150000	+	0	NA	intron (NM_001364077, intron 18 of 30)	intron (NM_001364077, intron 18 of 30)	-10882	NM_024177	60441	Mm.29974	NM_024177	ENSMUSG00000020775	Mrpl38	1110036N21Rik|4733401F03Rik|MRP-L3|R75240|Rpml3	mitochondrial ribosomal protein L38	protein-coding
3381	chr19	53244001	53244500	+	0	NA	intron (NM_001164101, intron 13 of 13)	intron (NM_001164101, intron 13 of 13)	10955	NR_036590	69319	Mm.57452	NR_036590	ENSMUSG00000118314	1700001K23Rik	-	RIKEN cDNA 1700001K23 gene	ncRNA
1522	chr8	84719001	84719500	+	0	NA	intron (NM_001371053, intron 8 of 10)	intron (NM_001371053, intron 8 of 10)	17793	NM_008535	17095	Mm.4925	NM_008535	ENSMUSG00000034041	Lyl1	Lyl-1|bHLHa18	lymphoblastomic leukemia 1	protein-coding
2764	chr14	51911001	51911500	+	0	NA	intron (NM_001360266, intron 2 of 15)	(CAGAGA)n|Simple_repeat|Simple_repeat	739	NM_001360272	29811	Mm.26722	NM_013864	ENSMUSG00000004558	Ndrg2	AI182517|AU040374|Ndr2|SYLD	N-myc downstream regulated gene 2	protein-coding
909	chr5	142407001	142407500	+	0	NA	intron (NM_199068, intron 1 of 8)	L1MC5a|LINE|L1	5753	NM_199068	17425	Mm.24214	NM_010812	ENSMUSG00000056493	Foxk1	A630048H08Rik|AI463295|Gm10868|Mnf	forkhead box K1	protein-coding
3366	chr19	47129501	47130000	+	0	NA	exon (NM_011053, exon 34 of 36)	exon (NM_011053, exon 34 of 36)	8544	NM_133746	72691	Mm.31663	NM_133746	ENSMUSG00000033033	Calhm2	2810048G17Rik|Fam26b	calcium homeostasis modulator family member 2	protein-coding
2625	chr13	20290501	20291000	+	0	NA	intron (NM_080288, intron 13 of 21)	intron (NM_080288, intron 13 of 21)	-182240	NM_198093	140580	Mm.342392	NM_080288	ENSMUSG00000041112	Elmo1	6330578D22Rik|C230095H21Rik|CED-12	engulfment and cell motility 1	protein-coding
2064	chr10	109047501	109048000	+	0	NA	Intergenic	Intergenic	-36775	NM_009306	20979	Mm.289702	NM_009306	ENSMUSG00000035864	Syt1	AW124717|G630098F17Rik|SytI	synaptotagmin I	protein-coding
979	chr5	118084501	118085000	+	0	NA	intron (NM_172721, intron 7 of 10)	LFSINE_Vert|SINE|tRNA	57007	NR_151582	57816	Mm.273285	NM_021344	ENSMUSG00000029359	Tesc	1010001A17Rik|2410011K10Rik|TE-1	tescalcin	protein-coding
1931	chr9	40319001	40319500	+	0	NA	intron (NM_001357621, intron 3 of 18)	intron (NM_001357621, intron 3 of 18)	2073	NM_001357622	235283	Mm.138434	NM_172768	ENSMUSG00000040111	Gramd1b	3222402H23|A930008A22Rik|AI593249|mKIAA1201	GRAM domain containing 1B	protein-coding
2927	chr15	78674001	78674500	+	0	NA	exon (NM_183141, exon 2 of 2)	exon (NM_183141, exon 2 of 2)	43863	NM_183141	207393	Mm.323188	NM_183141	ENSMUSG00000043460	Elfn2	6330514E13|AW048948|BC094219|Lrrc62|Ppp1r29	leucine rich repeat and fibronectin type III, extracellular 2	protein-coding
3106	chr17	48816501	48817000	+	0	NA	Intergenic	Intergenic	-115832	NM_027452	70530	Mm.133607	NM_027452	ENSMUSG00000040490	Lrfn2	5730420O05Rik|SALM1|mKIAA1246	leucine rich repeat and fibronectin type III domain containing 2	protein-coding
2335	chr11	103262501	103263000	+	0	NA	intron (NM_016896, intron 1 of 15)	intron (NM_016896, intron 1 of 15)	4651	NM_016896	53859	Mm.158981	NM_016896	ENSMUSG00000020941	Map3k14	Nik|aly	mitogen-activated protein kinase kinase kinase 14	protein-coding
814	chr5	113101501	113102000	+	0	NA	intron (NM_172884, intron 1 of 7)	intron (NM_172884, intron 1 of 7)	-20166	NM_001359005	12962	Mm.378899	NM_021352	ENSMUSG00000029352	Crybb3	AI852419	crystallin, beta B3	protein-coding
1452	chr7	61878001	61878500	+	0	NA	promoter-TSS (NR_029772)	promoter-TSS (NR_029772)	-386	NR_029772	723931		NR_029772	ENSMUSG00000065568	Mir344	Mirn344|mir-344-1|mmu-mir-344	microRNA 344	ncRNA
71	chr1	195018501	195019000	+	0	NA	non-coding (NR_015566, exon 2 of 8)	non-coding (NR_015566, exon 2 of 8)	1351	NR_015566	320977	Mm.99905	NR_015566	ENSMUSG00000096929	A330023F24Rik	C030002C11Rik	RIKEN cDNA A330023F24 gene	ncRNA
3420	chr19	5477501	5478000	+	0	NA	intron (NM_001164352, intron 4 of 9)	intron (NM_001164352, intron 4 of 9)	3015	NM_001164352	58859	Mm.276367	NM_021474	ENSMUSG00000024909	Efemp2	0610011K11Rik|Fbln4|MBP1	epidermal growth factor-containing fibulin-like extracellular matrix protein 2	protein-coding
1706	chr8	34208001	34208500	+	0	NA	Intergenic	Intergenic	-41538	NR_105820	102465211		NR_105820	ENSMUSG00000098785	Mir6395	Gm27561|mmu-mir-6395	microRNA 6395	ncRNA
1915	chr9	35907001	35907500	+	0	NA	Intergenic	Intergenic	-57370	NR_030730	100041605	Mm.99350	NR_030730	ENSMUSG00000098705	Gm3428	-	predicted gene 3428	ncRNA
1477	chr7	44908501	44909000	+	0	NA	intron (NM_001077264, intron 6 of 22)	intron (NM_001077264, intron 6 of 22)	12671	NM_027376	70300	Mm.276298	NM_027376	ENSMUSG00000011658	Fuz	2600013E07Rik|b2b1273Clo	fuzzy planar cell polarity protein	protein-coding
2399	chr11	52333501	52334000	+	0	NA	Intergenic	Intergenic	-27101	NM_011694	22333	Mm.3555	NM_011694	ENSMUSG00000020402	Vdac1	AL033343|Vdac5|mVDAC1|mVDAC5	voltage-dependent anion channel 1	protein-coding
480	chr3	89058501	89059000	+	0	NA	intron (NM_138679, intron 16 of 26)	B3|SINE|B2	31281	NM_001083808	72296	Mm.27687	NM_028188	ENSMUSG00000041263	Rusc1	2210403N08Rik|AA408288|NESCA	RUN and SH3 domain containing 1	protein-coding
717	chr4	118245001	118245500	+	0	NA	intron (NM_011213, intron 7 of 32)	intron (NM_011213, intron 7 of 32)	-34686	NR_106085	102466820		NR_106085	ENSMUSG00000098596	Mir7226	Gm27630|mmu-mir-7226	microRNA 7226	ncRNA
1617	chr8	124336501	124337000	+	0	NA	intron (NM_139272, intron 12 of 15)	intron (NM_139272, intron 12 of 15)	97186	NM_171824	209966	Mm.234233	NM_171824	ENSMUSG00000050751	Pgbd5	2900019M05Rik|AI854313	piggyBac transposable element derived 5	protein-coding
2311	chr11	98709001	98709500	+	0	NA	intron (NM_001361995, intron 19 of 25)	intron (NM_001361995, intron 19 of 25)	7937	NM_009971	12985	Mm.1238	NM_009971	ENSMUSG00000038067	Csf3	Csfg|G-CSF|MGI-IG	colony stimulating factor 3 (granulocyte)	protein-coding
686	chr4	150119501	150120000	+	0	NA	5' UTR (NM_019741, exon 2 of 14)	5' UTR (NM_019741, exon 2 of 14)	406	NM_019741	56485	Mm.260220	NM_019741	ENSMUSG00000028976	Slc2a5	AI526984|Glut5|Slc5a	solute carrier family 2 (facilitated glucose transporter), member 5	protein-coding
1165	chr6	120798001	120798500	+	0	NA	intron (NM_007510, intron 7 of 8)	intron (NM_007510, intron 7 of 8)	24448	NM_007510	11973	Mm.29045	NM_007510	ENSMUSG00000019210	Atp6v1e1	2410029D23Rik|Atp6e|Atp6e2|Atp6v1e|D6Ertd385e|Vma4|p31	ATPase, H+ transporting, lysosomal V1 subunit E1	protein-coding
3241	chr18	60709001	60709500	+	0	NA	intron (NM_001348101, intron 2 of 14)	L2b|LINE|L2	18316	NM_001348103	15531	Mm.181862	NM_008306	ENSMUSG00000054008	Ndst1	1200015G06Rik|HSNST|HSNST 1|Hsst|N-HSST|N-HSST 1|NDST-1|b2b2230Clo	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	protein-coding
181	chr1	51333001	51333500	+	0	NA	intron (NR_045151, intron 1 of 4)	intron (NR_045151, intron 1 of 4)	529	NR_045151	442821	Mm.118030	NR_045151	ENSMUSG00000101799	9330175M20Rik	-	RIKEN cDNA 9330175M20 gene	ncRNA
2518	chr12	104838001	104838500	+	0	NA	intron (NR_104437, intron 1 of 13)	intron (NR_104437, intron 1 of 13)	26826	NR_104436	94040	Mm.244078	NM_053155	ENSMUSG00000021097	Clmn	9330188N17Rik|AI428889|AI788815|mKIAA1188	calmin	protein-coding
2486	chr12	111794001	111794500	+	0	NA	intron (NM_001361611, intron 14 of 14)	intron (NM_001361611, intron 14 of 14)	19629	NM_028875	74335	Mm.19082	NM_028875	ENSMUSG00000021287	Xrcc3	-	X-ray repair complementing defective repair in Chinese hamster cells 3	protein-coding
2036	chr10	128390501	128391000	+	0	NA	3' UTR (NM_172790, exon 28 of 28)	3' UTR (NM_172790, exon 28 of 28)	1918	NR_105880	102465979		NR_105880	ENSMUSG00000106600	Mir6915	mmu-mir-6915	microRNA 6915	ncRNA
1984	chr10	83025001	83025500	+	0	NA	intron (NM_021439, intron 1 of 2)	intron (NM_021439, intron 1 of 2)	39753	NM_021439	58250	Mm.360747	NM_021439	ENSMUSG00000034612	Chst11	1110020P09Rik|C4ST|C4ST-1|C4ST1|C4s	carbohydrate sulfotransferase 11	protein-coding
2461	chr12	73755501	73756000	+	0	NA	intron (NM_008856, intron 10 of 13)	intron (NM_008856, intron 10 of 13)	-145574	NM_001313920	15251	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF-1-alpha|HIF1-alpha|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding
501	chr3	156958501	156959000	+	0	NA	intron (NM_001039094, intron 2 of 6)	intron (NM_001039094, intron 2 of 6)	396956	NM_177274	320840	Mm.317293	NM_177274	ENSMUSG00000040037	Negr1	5330422G01Rik|KILON|Ntra	neuronal growth regulator 1	protein-coding
1890	chr9	106371001	106371500	+	0	NA	intron (NM_153459, intron 2 of 2)	intron (NM_153459, intron 2 of 2)	2618	NM_153459	235584	Mm.275584	NM_153459	ENSMUSG00000053716	Dusp7	AU015694|Mkpx|Pyst2	dual specificity phosphatase 7	protein-coding
2646	chr13	3317501	3318000	+	0	NA	Intergenic	Intergenic	-160553	NR_015522	76937	Mm.487240	NR_015522	ENSMUSG00000097709	2810429I04Rik	AI256682	RIKEN cDNA 2810429I04 gene	ncRNA
495	chr3	96616501	96617000	+	0	NA	intron (NM_001163170, intron 2 of 5)	intron (NM_001163170, intron 2 of 5)	13069	NR_003619	229613	Mm.445135	NM_175469	ENSMUSG00000045327	6330549D23Rik	-	RIKEN cDNA 6330549D23 gene	pseudo
652	chr4	154285001	154285500	+	0	NA	intron (NM_001112744, intron 5 of 14)	intron (NM_001112744, intron 5 of 14)	14645	NM_001112744	230972	Mm.38481	NM_001112744	ENSMUSG00000029032	Arhgef16	-	Rho guanine nucleotide exchange factor (GEF) 16	protein-coding
3230	chr17	34934001	34934500	+	0	NA	intron (NM_010893, intron 4 of 5)	intron (NM_010893, intron 4 of 5)	2997	NM_010893	18010	Mm.8856	NM_010893	ENSMUSG00000007038	Neu1	AA407268|AA407316|Aglp|Apl|Bat-7|Bat7|G9|Map-2|Neu|Neu-1	neuraminidase 1	protein-coding
3065	chr16	4913001	4913500	+	0	NA	intron (NM_001357061, intron 4 of 15)	intron (NM_001357061, intron 4 of 15)	-25861	NM_025839	66911	Mm.428698	NM_025839	ENSMUSG00000022516	Nudt16l1	1110001K21Rik|5330437I08Rik|Sdos	nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1	protein-coding
571	chr4	138240501	138241000	+	0	NA	intron (NM_001356432, intron 11 of 11)	intron (NM_001356432, intron 11 of 11)	-9661	NM_001099631	230863	Mm.482408	NM_001099631	ENSMUSG00000045349	Sh2d5	BC036961	SH2 domain containing 5	protein-coding
760	chr4	130008001	130008500	+	0	NA	intron (NM_001290715, intron 7 of 28)	intron (NM_001290715, intron 7 of 28)	16196	NM_001290715	230775	Mm.262241	NM_173071	ENSMUSG00000028782	Adgrb2	Bai2	adhesion G protein-coupled receptor B2	protein-coding
3334	chr19	40326501	40327000	+	0	NA	intron (NM_001034962, intron 15 of 22)	intron (NM_001034962, intron 15 of 22)	-55134	NM_016861	54132	Mm.5567	NM_016861	ENSMUSG00000055044	Pdlim1	CLP36|Clim1|mClim1	PDZ and LIM domain 1 (elfin)	protein-coding
2851	chr15	102111001	102111500	+	0	NA	exon (NM_153533, exon 18 of 29)	exon (NM_153533, exon 18 of 29)	8316	NM_153533	209039	Mm.29389	NM_153533	ENSMUSG00000037003	Tns2	C1-ten|Tenc1|nep|nph	tensin 2	protein-coding
2736	chr14	120289001	120289500	+	0	NA	intron (NM_001360380, intron 1 of 7)	intron (NM_001360380, intron 1 of 7)	13581	NM_001360378	105559	Mm.238266	NM_175341	ENSMUSG00000022139	Mbnl2	1110002M11Rik|AI047808|AI837313|AI849185|AL118326|MBLL|R75232|mKIAA4072	muscleblind like splicing factor 2	protein-coding
135	chr1	39960001	39960500	+	0	NA	intron (NM_001252200, intron 2 of 31)	intron (NM_001252200, intron 2 of 31)	59337	NM_008696	26921	Mm.491139	NM_008696	ENSMUSG00000026074	Map4k4	9430080K19Rik|AU043147|AU045934|AW046177|HGK|Nik	mitogen-activated protein kinase kinase kinase kinase 4	protein-coding
2901	chr15	84439501	84440000	+	0	NA	intron (NM_001347543, intron 1 of 5)	intron (NM_001347543, intron 1 of 5)	6860	NM_001347543	72301	Mm.275387	NM_001163145	ENSMUSG00000062760	Shisal1	1810041L15Rik|Kiaa1644	shisa like 1	protein-coding
645	chr4	155856001	155856500	+	0	NA	exon (NM_010091, exon 12 of 15)	exon (NM_010091, exon 12 of 15)	7103	NM_031872	83771	Mm.358792	NM_031872	ENSMUSG00000029072	Tas1r3	Sac|T1r3	taste receptor, type 1, member 3	protein-coding
1305	chr7	81470001	81470500	+	0	NA	intron (NM_021492, intron 14 of 25)	intron (NM_021492, intron 14 of 25)	-15492	NM_001252525	12877	Mm.273122	NM_007755	ENSMUSG00000025586	Cpeb1	AU024112|Cpe-bp1|Cpeb|mCPEB|mCpeb-1	cytoplasmic polyadenylation element binding protein 1	protein-coding
1589	chr8	122893001	122893500	+	0	NA	non-coding (NR_037865, exon 10 of 14)	non-coding (NR_037865, exon 10 of 14)	44876	NM_007662	12555	Mm.1976	NM_007662	ENSMUSG00000031962	Cdh15	AI323380|Cdh14|Mcad	cadherin 15	protein-coding
1721	chr9	85873501	85874000	+	0	NA	Intergenic	Intergenic	30898	NM_001164792	21983	Mm.20864	NM_011627	ENSMUSG00000035274	Tpbg	5T4|AW495680|WAIF1	trophoblast glycoprotein	protein-coding
38	chr1	106008501	106009000	+	0	NA	intron (NM_001122676, intron 4 of 13)	intron (NM_001122676, intron 4 of 13)	18344	NM_001122676	227449	Mm.210188	NM_001122675	ENSMUSG00000038866	Zcchc2	9930114B20Rik|AW212015	zinc finger, CCHC domain containing 2	protein-coding
325	chr2	156494501	156495000	+	0	NA	intron (NM_001368804, intron 2 of 19)	intron (NM_001368804, intron 2 of 19)	19201	NM_001368804	13821	Mm.20852	NM_013510	ENSMUSG00000027624	Epb41l1	4.1N|Epb4.1l1|NBL1|mKIAA0338	erythrocyte membrane protein band 4.1 like 1	protein-coding
2839	chr15	97054501	97055000	+	0	NA	intron (NM_027052, intron 1 of 15)	CpG	1206	NM_027052	69354	Mm.250980	NM_027052	ENSMUSG00000022464	Slc38a4	1110012E16Rik|1700012A18Rik|Ata3|mATA3|mNAT3	solute carrier family 38, member 4	protein-coding
2579	chr13	68086501	68087000	+	0	NA	Intergenic	Intergenic	145070	NR_155296	101056219	Mm.394919	NR_155295		Urml	mach-1	up-regulated in Myc liver	ncRNA
2737	chr14	120275501	120276000	+	0	NA	promoter-TSS (NM_001360378)	promoter-TSS (NM_001360378)	81	NM_001360378	105559	Mm.238266	NM_175341	ENSMUSG00000022139	Mbnl2	1110002M11Rik|AI047808|AI837313|AI849185|AL118326|MBLL|R75232|mKIAA4072	muscleblind like splicing factor 2	protein-coding
3205	chr17	24505001	24505500	+	0	NA	exon (NM_027937, exon 18 of 20)	exon (NM_027937, exon 18 of 20)	16467	NM_027937	268932	Mm.70989	NM_027937	ENSMUSG00000033597	Caskin1	3300002N10Rik|C130061I24|C630036E02Rik|mKIAA1306	CASK interacting protein 1	protein-coding
878	chr5	135244001	135244500	+	0	NA	exon (NM_011714, exon 19 of 19)	exon (NM_011714, exon 19 of 19)	6797	NM_010246	14371	Mm.6256	NM_010246	ENSMUSG00000049551	Fzd9	Fz9|mfz9	frizzled class receptor 9	protein-coding
1330	chr7	130968501	130969000	+	0	NA	intron (NM_019564, intron 3 of 8)	intron (NM_019564, intron 3 of 8)	32547	NM_019564	56213	Mm.30156	NM_019564	ENSMUSG00000006205	Htra1	AI429470|HTRA|L56|Prss11|RSPP11	HtrA serine peptidase 1	protein-coding
