Gene Input,Vizgen Gene,Ensemble ID,Transcript,Notes,Abundance,Target Regions,Type
ENSMUSG00000006179.9,Prss16,ENSMUSG00000006179,ENSMUST00000006341,,0.1946962083333333,58,MERFISH
ENSMUSG00000006586.15,Runx1t1,ENSMUSG00000006586,ENSMUST00000006761,,6.319189041666666,157,MERFISH
ENSMUSG00000006764.8,Tph2,ENSMUSG00000006764,ENSMUST00000006949,,2.7027671250000003,83,MERFISH
ENSMUSG00000067889.5,Sptbn2,ENSMUSG00000067889,ENSMUST00000008991,,63.81413941666666,252,MERFISH
ENSMUSG00000014030.15,Pax5,ENSMUSG00000014030,ENSMUST00000014174,,0.15761675,189,MERFISH
ENSMUSG00000014361.5,Mertk,ENSMUSG00000014361,ENSMUST00000014505,,5.810972875,55,MERFISH
ENSMUSG00000014704.10,Hoxa2,ENSMUSG00000014704,ENSMUST00000014848,,0.1854210416666666,57,MERFISH
ENSMUSG00000050578.10,Mmp13,ENSMUSG00000050578,ENSMUST00000015394,,0.0492143749999999,75,MERFISH
ENSMUSG00000015312.9,Gadd45b,ENSMUSG00000015312,ENSMUST00000015456,,9.384993875,52,MERFISH
ENSMUSG00000015759.11,Cnih1,ENSMUSG00000015759,ENSMUST00000015903,,36.44829270833333,60,MERFISH
ENSMUSG00000041132.11,N4bp2l1,ENSMUSG00000041132,ENSMUST00000016279,,6.422419583333333,53,MERFISH
ENSMUSG00000017007.9,Rbpjl,ENSMUSG00000017007,ENSMUST00000017151,,0.1043057083333333,56,MERFISH
ENSMUSG00000017466.9,Timp2,ENSMUSG00000017466,ENSMUST00000017610,,68.98037825,110,MERFISH
ENSMUSG00000019146.2,Cacng2,ENSMUSG00000019146,ENSMUST00000019290,,17.042737833333334,143,MERFISH
ENSMUSG00000019647.16,Sema6a,ENSMUSG00000019647,ENSMUST00000019791,,1.7535896666666666,64,MERFISH
ENSMUSG00000019772.5,Vip,ENSMUSG00000019772,ENSMUST00000019906,,12.977074958333333,52,MERFISH
ENSMUSG00000019803.11,Nr2e1,ENSMUSG00000019803,ENSMUST00000019938,,2.3720965,60,MERFISH
ENSMUSG00000019970.15,Sgk1,ENSMUSG00000019970,ENSMUST00000020145,,16.443368624999998,70,MERFISH
ENSMUSG00000020423.6,Btg2,ENSMUSG00000020423,ENSMUST00000020692,,6.229975125,80,MERFISH
ENSMUSG00000020538.15,Srebf1,ENSMUSG00000020538,ENSMUST00000020846,,4.511917583333333,52,MERFISH
ENSMUSG00000020838.12,Slc6a4,ENSMUSG00000020838,ENSMUST00000021195,,1.0196511666666668,82,MERFISH
ENSMUSG00000021095.5,Gsc,ENSMUSG00000021095,ENSMUST00000021513,,0.033572,65,MERFISH
ENSMUSG00000021379.2,Id4,ENSMUSG00000021379,ENSMUST00000021810,,22.68469095833333,96,MERFISH
ENSMUSG00000021474.9,Sfxn1,ENSMUSG00000021474,ENSMUST00000021930,,19.729213916666662,83,MERFISH
ENSMUSG00000021508.11,Cxcl14,ENSMUSG00000021508,ENSMUST00000021970,,29.301538125,50,MERFISH
ENSMUSG00000021538.3,Il9,ENSMUSG00000021538,ENSMUST00000022019,,0,44,MERFISH
ENSMUSG00000021953.14,Tdh,ENSMUSG00000021953,ENSMUST00000022522,,0.0503476666666666,58,MERFISH
ENSMUSG00000021991.9,Cacna2d3,ENSMUSG00000021991,ENSMUST00000022567,,18.560334666666662,69,MERFISH
ENSMUSG00000059456.13,Ptk2b,ENSMUSG00000059456,ENSMUST00000022622,,29.89963425,69,MERFISH
ENSMUSG00000022061.8,Nkx3-1,ENSMUSG00000022061,ENSMUST00000022646,,0.1856825416666666,96,MERFISH
ENSMUSG00000022309.9,Angpt1,ENSMUSG00000022309,ENSMUST00000022921,,1.85699325,104,MERFISH
ENSMUSG00000022494.15,Shisa9,ENSMUSG00000022494,ENSMUST00000023138,,11.033804666666668,51,MERFISH
ENSMUSG00000022790.14,Igsf11,ENSMUSG00000022790,ENSMUST00000023478,,6.532281333333335,94,MERFISH
ENSMUSG00000022991.5,Lalba,ENSMUSG00000022991,ENSMUST00000023726,,0.0148883333333333,63,MERFISH
ENSMUSG00000023092.16,Fhl1,ENSMUSG00000023092,ENSMUST00000023854,,24.423418166666664,61,MERFISH
ENSMUSG00000023274.14,Cd4,ENSMUSG00000023274,ENSMUST00000024044,,1.4947230833333334,50,MERFISH
ENSMUSG00000023809.10,Rps6ka2,ENSMUSG00000023809,ENSMUST00000024575,,9.2991725,57,MERFISH
ENSMUSG00000023992.14,Trem2,ENSMUSG00000023992,ENSMUST00000024791,,4.42344525,62,MERFISH
ENSMUSG00000024032.7,Tff1,ENSMUSG00000024032,ENSMUST00000024831,,7.968409208333334,60,MERFISH
ENSMUSG00000024064.14,Galnt14,ENSMUSG00000024064,ENSMUST00000024858,,2.9522479166666664,86,MERFISH
ENSMUSG00000024304.14,Cdh2,ENSMUSG00000024304,ENSMUST00000025166,,14.490663916666666,124,MERFISH
ENSMUSG00000024357.10,Sil1,ENSMUSG00000024357,ENSMUST00000025215,,6.801539083333333,51,MERFISH
ENSMUSG00000024590.8,Lmnb1,ENSMUSG00000024590,ENSMUST00000025486,,2.3250315833333337,57,MERFISH
ENSMUSG00000024621.16,Csf1r,ENSMUSG00000024621,ENSMUST00000025523,,9.264484166666666,122,MERFISH
ENSMUSG00000036225.15,Kctd1,ENSMUSG00000036225,ENSMUST00000025992,,19.41872120833333,58,MERFISH
ENSMUSG00000042243.10,BC051665,ENSMUSG00000042243,ENSMUST00000026078,,0,51,MERFISH
ENSMUSG00000025133.9,Ints4,ENSMUSG00000025133,ENSMUST00000026126,,6.211630583333332,53,MERFISH
ENSMUSG00000025612.5,Bach1,ENSMUSG00000025612,ENSMUST00000026703,,2.565714916666667,108,MERFISH
ENSMUSG00000025935.10,Tram1,ENSMUSG00000025935,ENSMUST00000027068,,9.970930666666666,58,MERFISH
ENSMUSG00000026235.14,Epha4,ENSMUSG00000026235,ENSMUST00000027451,,19.23577720833333,121,MERFISH
ENSMUSG00000026356.15,Dars,ENSMUSG00000026356,ENSMUST00000027602,,19.92050379166667,53,MERFISH
ENSMUSG00000026393.10,Nek7,ENSMUSG00000026393,ENSMUST00000027642,,4.842867333333334,95,MERFISH
ENSMUSG00000026739.13,Bmi1,ENSMUSG00000026739,ENSMUST00000028071,,7.186533,87,MERFISH
ENSMUSG00000026787.3,Gad2,ENSMUSG00000026787,ENSMUST00000028123,,36.18013075,144,MERFISH
ENSMUSG00000026841.7,Fibcd1,ENSMUSG00000026841,ENSMUST00000028188,,3.38152275,144,MERFISH
ENSMUSG00000026970.16,Rbms1,ENSMUSG00000026970,ENSMUST00000028347,,6.365413625,53,MERFISH
ENSMUSG00000027187.10,Cat,ENSMUSG00000027187,ENSMUST00000028610,,14.006922916666664,80,MERFISH
ENSMUSG00000027397.14,Slc20a1,ENSMUSG00000027397,ENSMUST00000028880,,31.284679625,96,MERFISH
ENSMUSG00000027398.13,Il1b,ENSMUSG00000027398,ENSMUST00000028881,,0.1326321666666666,53,MERFISH
ENSMUSG00000027399.1,Il1a,ENSMUSG00000027399,ENSMUST00000028882,,0.2058538333333333,57,MERFISH
ENSMUSG00000027430.12,Dtd1,ENSMUSG00000027430,ENSMUST00000028917,,34.10018841666667,58,MERFISH
ENSMUSG00000027995.10,Tlr2,ENSMUSG00000027995,ENSMUST00000029623,,0.313517,91,MERFISH
ENSMUSG00000028351.5,Brinp1,ENSMUSG00000028351,ENSMUST00000030036,,41.59826916666667,79,MERFISH
ENSMUSG00000028532.14,Cachd1,ENSMUSG00000028532,ENSMUST00000030257,,3.916184416666667,150,MERFISH
ENSMUSG00000001985.9,Grik3,ENSMUSG00000001985,ENSMUST00000030676,,6.776969791666666,267,MERFISH
ENSMUSG00000029594.12,Rbm19,ENSMUSG00000029594,ENSMUST00000031590,,2.0188650416666665,63,MERFISH
ENSMUSG00000030087.11,Klf15,ENSMUSG00000030087,ENSMUST00000032174,,3.1537640833333334,60,MERFISH
ENSMUSG00000030156.5,Cd69,ENSMUSG00000030156,ENSMUST00000032259,,0.0045435,70,MERFISH
ENSMUSG00000030350.8,Prmt8,ENSMUSG00000030350,ENSMUST00000032500,,18.15319091666667,72,MERFISH
ENSMUSG00000030500.6,Slc17a6,ENSMUSG00000030500,ENSMUST00000032710,,21.798370416666664,103,MERFISH
ENSMUSG00000030657.11,Xylt1,ENSMUSG00000030657,ENSMUST00000032892,,5.0306905,208,MERFISH
ENSMUSG00000030796.17,Tead2,ENSMUSG00000030796,ENSMUST00000033060,,1.0156779583333333,56,MERFISH
ENSMUSG00000030909.6,Anks4b,ENSMUSG00000030909,ENSMUST00000033201,,0.056915375,108,MERFISH
ENSMUSG00000031365.13,Zfp275,ENSMUSG00000031365,ENSMUST00000033731,,2.2772691666666667,180,MERFISH
ENSMUSG00000032017.14,Grik4,ENSMUSG00000032017,ENSMUST00000034515,,2.410540333333333,101,MERFISH
ENSMUSG00000032094.8,Cd3d,ENSMUSG00000032094,ENSMUST00000034602,,0.0498520416666666,57,MERFISH
ENSMUSG00000032318.12,Isl2,ENSMUSG00000032318,ENSMUST00000034869,,0.0194923333333333,50,MERFISH
ENSMUSG00000032368.14,Zic1,ENSMUSG00000032368,ENSMUST00000034927,,24.963567875,68,MERFISH
ENSMUSG00000032402.12,Smad3,ENSMUSG00000032402,ENSMUST00000034973,,8.391744875,151,MERFISH
ENSMUSG00000032537.15,Ephb1,ENSMUSG00000032537,ENSMUST00000035129,,9.086199666666666,56,MERFISH
ENSMUSG00000039830.9,Olig2,ENSMUSG00000039830,ENSMUST00000035608,,9.928397291666666,63,MERFISH
ENSMUSG00000032911.6,Cspg4,ENSMUSG00000032911,ENSMUST00000035661,,1.6626449583333331,157,MERFISH
ENSMUSG00000020524.16,Gria1,ENSMUSG00000020524,ENSMUST00000036315,,30.187373125,171,MERFISH
ENSMUSG00000039621.13,Prex1,ENSMUSG00000039621,ENSMUST00000036719,,15.698776625,115,MERFISH
ENSMUSG00000036264.9,Fstl4,ENSMUSG00000036264,ENSMUST00000036796,,3.25086125,134,MERFISH
ENSMUSG00000036111.8,Lmo1,ENSMUSG00000036111,ENSMUST00000036992,,5.409364041666667,51,MERFISH
ENSMUSG00000037242.8,Clic4,ENSMUSG00000037242,ENSMUST00000037099,,28.53067075,123,MERFISH
ENSMUSG00000042631.7,Xkr7,ENSMUSG00000042631,ENSMUST00000037235,,1.1839253333333335,70,MERFISH
ENSMUSG00000036907.9,C1ql2,ENSMUSG00000036907,ENSMUST00000037286,,3.773211333333333,50,MERFISH
ENSMUSG00000039202.12,Abhd2,ENSMUSG00000039202,ENSMUST00000037315,,10.725437374999998,191,MERFISH
ENSMUSG00000070056.6,Mfhas1,ENSMUSG00000070056,ENSMUST00000037666,,6.885742125,166,MERFISH
ENSMUSG00000040697.10,Dnajc16,ENSMUSG00000040697,ENSMUST00000038014,,8.244190666666666,171,MERFISH
ENSMUSG00000038175.10,Mylip,ENSMUSG00000038175,ENSMUST00000038275,,3.6754429166666656,62,MERFISH
ENSMUSG00000037306.13,Man1c1,ENSMUSG00000037306,ENSMUST00000038628,,4.259595375,120,MERFISH
ENSMUSG00000041703.7,Zic5,ENSMUSG00000041703,ENSMUST00000039118,,3.4573796666666667,88,MERFISH
ENSMUSG00000033316.14,Galnt9,ENSMUSG00000033316,ENSMUST00000040001,,14.384633125,55,MERFISH
ENSMUSG00000038193.4,Hand2,ENSMUSG00000038193,ENSMUST00000040104,,0.029775625,50,MERFISH
ENSMUSG00000034612.7,Chst11,ENSMUSG00000034612,ENSMUST00000040110,,8.092142125,165,MERFISH
ENSMUSG00000035946.7,Gsx2,ENSMUSG00000035946,ENSMUST00000040477,,0.14632475,59,MERFISH
ENSMUSG00000058997.8,Vwa8,ENSMUSG00000058997,ENSMUST00000040990,,4.318552541666667,51,MERFISH
ENSMUSG00000035441.14,Myo1d,ENSMUSG00000035441,ENSMUST00000041065,,3.0719305416666667,158,MERFISH
ENSMUSG00000041592.16,Sdk2,ENSMUSG00000041592,ENSMUST00000041627,,1.889155375,246,MERFISH
ENSMUSG00000038255.6,Neurod2,ENSMUSG00000038255,ENSMUST00000041685,,19.31473020833333,74,MERFISH
ENSMUSG00000038765.13,Lmx1b,ENSMUSG00000038765,ENSMUST00000041730,,0.2729549999999999,133,MERFISH
ENSMUSG00000019969.14,Psen1,ENSMUSG00000019969,ENSMUST00000041806,,9.771892333333334,85,MERFISH
ENSMUSG00000034748.16,Sirt6,ENSMUSG00000034748,ENSMUST00000042923,,5.065238208333334,56,MERFISH
ENSMUSG00000038349.10,Plcl1,ENSMUSG00000038349,ENSMUST00000042986,,5.228315458333333,169,MERFISH
ENSMUSG00000041078.7,Grid1,ENSMUSG00000041078,ENSMUST00000043349,,6.798729708333333,170,MERFISH
ENSMUSG00000016763.15,Scube1,ENSMUSG00000016763,ENSMUST00000043634,,2.870904083333333,57,MERFISH
ENSMUSG00000038417.4,Fig4,ENSMUSG00000038417,ENSMUST00000043814,,7.171250458333333,97,MERFISH
ENSMUSG00000036580.15,Spg20,ENSMUSG00000036580,ENSMUST00000044116,,6.739099041666666,108,MERFISH
ENSMUSG00000035451.7,Foxa1,ENSMUSG00000035451,ENSMUST00000044380,,0.142119625,77,MERFISH
ENSMUSG00000038156.16,Spon1,ENSMUSG00000038156,ENSMUST00000046687,,10.604354416666668,157,MERFISH
ENSMUSG00000033713.12,Foxn3,ENSMUSG00000033713,ENSMUST00000046859,,9.185637041666666,147,MERFISH
ENSMUSG00000019230.14,Lhx9,ENSMUSG00000019230,ENSMUST00000046870,,0.5401506666666667,55,MERFISH
ENSMUSG00000041119.12,Pde9a,ENSMUSG00000041119,ENSMUST00000047168,,2.9046661666666664,53,MERFISH
ENSMUSG00000041351.16,Rap1gap,ENSMUSG00000041351,ENSMUST00000047243,,21.978967166666664,53,MERFISH
ENSMUSG00000035033.15,Tbr1,ENSMUSG00000035033,ENSMUST00000048934,,11.667953041666664,103,MERFISH
ENSMUSG00000026463.17,Atp2b4,ENSMUSG00000026463,ENSMUST00000048953,,14.106194291666666,114,MERFISH
ENSMUSG00000033910.13,Gucy1a1,ENSMUSG00000033910,ENSMUST00000048976,,9.425083333333331,133,MERFISH
ENSMUSG00000035799.6,Twist1,ENSMUSG00000035799,ENSMUST00000049089,,0.5923894166666667,54,MERFISH
ENSMUSG00000036766.12,Dner,ENSMUSG00000036766,ENSMUST00000049126,,55.62059175,101,MERFISH
ENSMUSG00000040249.15,Lrp1,ENSMUSG00000040249,ENSMUST00000049149,,22.959603166666668,313,MERFISH
ENSMUSG00000050370.5,Ch25h,ENSMUSG00000050370,ENSMUST00000050562,,0.3526258333333333,54,MERFISH
ENSMUSG00000052133.16,Sema5b,ENSMUSG00000052133,ENSMUST00000050625,,2.0501974583333333,128,MERFISH
ENSMUSG00000047146.17,Tet1,ENSMUSG00000047146,ENSMUST00000050826,,1.0581433333333332,403,MERFISH
ENSMUSG00000041235.12,Chd7,ENSMUSG00000041235,ENSMUST00000051558,,4.182082291666666,159,MERFISH
ENSMUSG00000049517.8,Rps23,ENSMUSG00000049517,ENSMUST00000051955,,199.62862670833331,32,MERFISH
ENSMUSG00000024642.17,Tle4,ENSMUSG00000024642,ENSMUST00000052011,,9.923931583333331,114,MERFISH
ENSMUSG00000033763.14,Mtss2,ENSMUSG00000033763,ENSMUST00000052457,,33.90181945833333,59,MERFISH
ENSMUSG00000046532.8,Ar,ENSMUSG00000046532,ENSMUST00000052837,,2.789006958333333,288,MERFISH
ENSMUSG00000022306.9,Zfpm2,ENSMUSG00000022306,ENSMUST00000053467,,3.5979936249999995,146,MERFISH
ENSMUSG00000049556.5,Lingo1,ENSMUSG00000049556,ENSMUST00000053568,,28.653346625,64,MERFISH
ENSMUSG00000044030.4,Irf2bp1,ENSMUSG00000044030,ENSMUST00000053713,,13.117225458333332,66,MERFISH
ENSMUSG00000044167.6,Foxo1,ENSMUSG00000044167,ENSMUST00000053764,,2.953081958333333,236,MERFISH
ENSMUSG00000042700.16,Sipa1l1,ENSMUSG00000042700,ENSMUST00000053969,,17.4375945,230,MERFISH
ENSMUSG00000053747.9,Sox14,ENSMUSG00000053747,ENSMUST00000054819,,0.3979808333333333,51,MERFISH
ENSMUSG00000045835.5,Hdgfl1,ENSMUSG00000045835,ENSMUST00000055915,,0.0037458333333333,51,MERFISH
ENSMUSG00000009621.18,Vav2,ENSMUSG00000009621,ENSMUST00000056176,,1.3016048333333332,132,MERFISH
ENSMUSG00000046160.6,Olig1,ENSMUSG00000046160,ENSMUST00000056882,,45.911493208333326,59,MERFISH
ENSMUSG00000027270.14,Lamp5,ENSMUSG00000027270,ENSMUST00000057503,,48.917354375,62,MERFISH
ENSMUSG00000048058.17,Ldlrad3,ENSMUSG00000048058,ENSMUST00000058790,,2.007438333333333,108,MERFISH
ENSMUSG00000022685.9,Parn,ENSMUSG00000022685,ENSMUST00000058884,,5.585158249999999,52,MERFISH
ENSMUSG00000044646.15,Zbtb7c,ENSMUSG00000044646,ENSMUST00000058997,,0.7573916666666666,56,MERFISH
ENSMUSG00000039217.13,Il18,ENSMUSG00000039217,ENSMUST00000059081,,6.39933525,59,MERFISH
ENSMUSG00000028664.14,Ephb2,ENSMUSG00000028664,ENSMUST00000059287,,1.9535509583333328,135,MERFISH
ENSMUSG00000047407.17,Tgif1,ENSMUSG00000047407,ENSMUST00000059775,,0.3652021666666667,57,MERFISH
ENSMUSG00000051251.3,Nhlh1,ENSMUSG00000051251,ENSMUST00000059794,,0.1128851666666666,70,MERFISH
ENSMUSG00000046178.3,Nxph1,ENSMUSG00000046178,ENSMUST00000060369,,6.339975208333334,71,MERFISH
ENSMUSG00000044303.6,Cdkn2a,ENSMUSG00000044303,ENSMUST00000060501,,0.01574,56,MERFISH
ENSMUSG00000047371.7,Zfp768,ENSMUSG00000047371,ENSMUST00000060783,,3.714535125,64,MERFISH
ENSMUSG00000043635.12,Adamts3,ENSMUSG00000043635,ENSMUST00000061427,,2.095017583333333,124,MERFISH
ENSMUSG00000049630.6,C1ql3,ENSMUSG00000049630,ENSMUST00000061545,,21.1654915,61,MERFISH
ENSMUSG00000050295.4,Foxc1,ENSMUSG00000050295,ENSMUST00000062292,,1.1257600416666669,131,MERFISH
ENSMUSG00000045594.10,Glb1,ENSMUSG00000045594,ENSMUST00000063042,,4.494964,73,MERFISH
ENSMUSG00000052336.7,Cx3cr1,ENSMUSG00000052336,ENSMUST00000064165,,4.91525675,105,MERFISH
ENSMUSG00000052353.13,Cemip,ENSMUSG00000052353,ENSMUST00000064174,,2.3491330416666667,60,MERFISH
ENSMUSG00000052435.7,Cebpe,ENSMUSG00000052435,ENSMUST00000064290,,0.0065881666666666,58,MERFISH
ENSMUSG00000008575.17,Nfib,ENSMUSG00000008575,ENSMUST00000064770,,9.752203291666667,234,MERFISH
ENSMUSG00000052981.6,Ube2ql1,ENSMUSG00000052981,ENSMUST00000065118,,49.6142855,68,MERFISH
ENSMUSG00000032511.17,Scn5a,ENSMUSG00000032511,ENSMUST00000065196,,0.3142287083333333,227,MERFISH
ENSMUSG00000057858.8,Fam204a,ENSMUSG00000057858,ENSMUST00000065286,,4.52643375,56,MERFISH
ENSMUSG00000053199.13,Arhgap20,ENSMUSG00000053199,ENSMUST00000065496,,10.875153416666668,161,MERFISH
ENSMUSG00000053414.8,Hunk,ENSMUSG00000053414,ENSMUST00000065856,,3.022976375,140,MERFISH
ENSMUSG00000048251.15,Bcl11b,ENSMUSG00000048251,ENSMUST00000066060,,9.830284583333334,137,MERFISH
ENSMUSG00000031681.16,Smad1,ENSMUSG00000031681,ENSMUST00000066091,,7.601042041666668,54,MERFISH
ENSMUSG00000054057.2,A930004D18Rik,ENSMUSG00000054057,ENSMUST00000066163,,2.180183791666667,82,MERFISH
ENSMUSG00000036206.12,Sh3bp4,ENSMUSG00000036206,ENSMUST00000066279,,3.5498372083333343,146,MERFISH
ENSMUSG00000053977.13,Cd8a,ENSMUSG00000053977,ENSMUST00000066747,,0.0550639999999999,56,MERFISH
ENSMUSG00000020520.14,Galnt10,ENSMUSG00000020520,ENSMUST00000066987,,2.2143157916666665,132,MERFISH
ENSMUSG00000054160.2,Nkx2-4,ENSMUSG00000054160,ENSMUST00000067020,,0.0483109166666666,54,MERFISH
ENSMUSG00000027577.14,Chrna4,ENSMUSG00000027577,ENSMUST00000067120,,6.155756625,80,MERFISH
ENSMUSG00000004633.17,Chn2,ENSMUSG00000004633,ENSMUST00000067741,,32.561865833333336,58,MERFISH
ENSMUSG00000055148.7,Klf2,ENSMUSG00000055148,ENSMUST00000067912,,7.601349125,54,MERFISH
ENSMUSG00000034613.12,Ppm1h,ENSMUSG00000034613,ENSMUST00000067918,,9.097653208333334,142,MERFISH
ENSMUSG00000021676.10,Iqgap2,ENSMUSG00000021676,ENSMUST00000068603,,3.1428899583333334,107,MERFISH
ENSMUSG00000055538.7,Zcchc24,ENSMUSG00000055538,ENSMUST00000069180,,8.805586541666667,126,MERFISH
ENSMUSG00000055320.17,Tead1,ENSMUSG00000055320,ENSMUST00000069256,,1.611933625,262,MERFISH
ENSMUSG00000073418.4,C4b,ENSMUSG00000073418,ENSMUST00000069507,,6.290629541666666,54,MERFISH
ENSMUSG00000021540.16,Smad5,ENSMUSG00000021540,ENSMUST00000069557,,6.224197958333333,152,MERFISH
ENSMUSG00000056427.10,Slit3,ENSMUSG00000056427,ENSMUST00000069837,,3.6743824583333335,144,MERFISH
ENSMUSG00000057315.14,Arhgap24,ENSMUSG00000057315,ENSMUST00000070000,,1.7960910833333332,63,MERFISH
ENSMUSG00000046157.13,Tmem229b,ENSMUSG00000046157,ENSMUST00000070174,,4.683894583333333,117,MERFISH
ENSMUSG00000039706.11,Ldb2,ENSMUSG00000039706,ENSMUST00000070748,,7.382394375,69,MERFISH
ENSMUSG00000029778.12,Adcyap1r1,ENSMUSG00000029778,ENSMUST00000070756,,22.813796041666667,82,MERFISH
ENSMUSG00000059991.7,Nptx2,ENSMUSG00000059991,ENSMUST00000071782,,13.464318333333336,72,MERFISH
ENSMUSG00000047409.13,Ctdspl,ENSMUSG00000047409,ENSMUST00000073109,,4.9563035,97,MERFISH
ENSMUSG00000062542.11,Syt9,ENSMUSG00000062542,ENSMUST00000073459,,4.459989291666666,63,MERFISH
ENSMUSG00000040037.13,Negr1,ENSMUSG00000040037,ENSMUST00000074015,,30.61518045833333,105,MERFISH
ENSMUSG00000024513.16,Mbd2,ENSMUSG00000024513,ENSMUST00000074058,,14.279919208333332,51,MERFISH
ENSMUSG00000055013.15,Agap1,ENSMUSG00000055013,ENSMUST00000074945,,7.247939416666667,277,MERFISH
ENSMUSG00000063931.14,Pepd,ENSMUSG00000063931,ENSMUST00000075068,,8.459459166666667,66,MERFISH
ENSMUSG00000032259.8,Drd2,ENSMUSG00000032259,ENSMUST00000075764,,6.455306583333334,78,MERFISH
ENSMUSG00000060969.9,Irx1,ENSMUSG00000060969,ENSMUST00000077337,,1.2599843750000002,55,MERFISH
ENSMUSG00000038608.15,Dock10,ENSMUSG00000038608,ENSMUST00000077946,,3.8470840416666654,53,MERFISH
ENSMUSG00000040118.15,Cacna2d1,ENSMUSG00000040118,ENSMUST00000078272,,13.822751166666668,206,MERFISH
ENSMUSG00000036356.15,Csgalnact1,ENSMUSG00000036356,ENSMUST00000078350,,3.885477041666667,53,MERFISH
ENSMUSG00000060402.7,Chst8,ENSMUSG00000060402,ENSMUST00000078686,,3.3614365,71,MERFISH
ENSMUSG00000032691.14,Nlrp3,ENSMUSG00000032691,ENSMUST00000079476,,0.0962454583333333,112,MERFISH
ENSMUSG00000005089.15,Slc1a2,ENSMUSG00000005089,ENSMUST00000080210,,141.47172470833334,284,MERFISH
ENSMUSG00000034684.12,Sema3f,ENSMUSG00000034684,ENSMUST00000080560,,1.6874,55,MERFISH
ENSMUSG00000023764.18,Sfi1,ENSMUSG00000023764,ENSMUST00000081318,,3.079106416666667,55,MERFISH
ENSMUSG00000046321.8,Hs3st2,ENSMUSG00000046321,ENSMUST00000084628,,9.952000625,53,MERFISH
ENSMUSG00000053025.13,Sv2b,ENSMUSG00000053025,ENSMUST00000085164,,31.681002,164,MERFISH
ENSMUSG00000090626.9,Tex9,ENSMUSG00000090626,ENSMUST00000085358,,1.37000875,50,MERFISH
ENSMUSG00000070570.5,Slc17a7,ENSMUSG00000070570,ENSMUST00000085374,,173.00351525000002,88,MERFISH
ENSMUSG00000039683.16,Sdk1,ENSMUSG00000039683,ENSMUST00000085774,,0.4949979166666667,69,MERFISH
ENSMUSG00000029406.15,Pitpnm2,ENSMUSG00000029406,ENSMUST00000086123,,14.02225425,87,MERFISH
ENSMUSG00000055471.7,Alk,ENSMUSG00000055471,ENSMUST00000086639,,1.116058125,120,MERFISH
ENSMUSG00000004872.15,Pax3,ENSMUSG00000004872,ENSMUST00000087086,,0.26998025,92,MERFISH
ENSMUSG00000058624.13,Gda,ENSMUSG00000058624,ENSMUST00000087600,,29.48894704166667,135,MERFISH
ENSMUSG00000034265.8,Zdhhc14,ENSMUSG00000034265,ENSMUST00000089185,,10.996626791666667,85,MERFISH
ENSMUSG00000034037.14,Fgd5,ENSMUSG00000034037,ENSMUST00000089334,,1.0345649583333334,114,MERFISH
ENSMUSG00000034832.15,Tet3,ENSMUSG00000034832,ENSMUST00000089622,,5.237335791666666,152,MERFISH
ENSMUSG00000028360.9,Slc44a5,ENSMUSG00000028360,ENSMUST00000089948,,0.8791396666666667,54,MERFISH
ENSMUSG00000037580.10,Gch1,ENSMUSG00000037580,ENSMUST00000089959,,1.102194,79,MERFISH
ENSMUSG00000020823.16,Sec14l1,ENSMUSG00000020823,ENSMUST00000090433,,22.434915625,57,MERFISH
